O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z pos_x pos_y pos_z bodyRPY_des_R bodyRPY_des_P bodyRPY_des_Y bodyRPY_R bodyRPY_P bodyRPY_Y error_ana_x error_ana_y error_ana_z error_ana_rx error_ana_ry error_ana_rz 
0.99999 -0.000200439 0.000167511 0 -0.000260189 -0.707364 0.706836 0 -2.31866e-05 -0.706843 -0.707371 0 0.306845 -0.148766 0.548496 1 0.0726772 0.0270179 -0.00847709 -0.0105384 0.0149042 0.0203828 0.306839 -0.148761 0.54848 0 0 0 0.306845 -0.148766 0.548496 3.14138 -3.14144 -0.785014 3.14139 -3.14143 -0.78503 5.7604e-06 -4.8765e-06 1.65281e-05 1.69018e-05 1.67388e-05 -1.61722e-05 
0.99999 -0.000200631 0.000161933 0 -0.000256382 -0.707363 0.706837 0 -2.72685e-05 -0.706843 -0.70737 0 0.306846 -0.148766 0.548494 1 -0.0233331 0.013368 0.042876 0.0021412 -0.003063 -0.00858572 0.306839 -0.148761 0.54848 5.9988e-09 0 0 0.306846 -0.148766 0.548494 3.14138 -3.14144 -0.785014 3.14139 -3.14143 -0.785031 7.05861e-06 -4.06282e-06 1.37617e-05 1.67097e-05 1.11605e-05 -1.68239e-05 
0.99999 -0.000195342 0.000160328 0 -0.000251506 -0.707364 0.706836 0 -2.46652e-05 -0.706843 -0.707371 0 0.306846 -0.148766 0.548494 1 0.0323673 0.173394 0.099292 -0.00975591 0.0138001 0.0236258 0.306839 -0.148761 0.54848 2.39904e-08 0 0 0.306846 -0.148766 0.548494 3.14138 -3.14144 -0.785014 3.1414 -3.14143 -0.785029 7.51075e-06 -4.18739e-06 1.43074e-05 2.19987e-05 9.55531e-06 -1.56054e-05 
0.99999 -0.000201932 0.000157131 0 -0.000253908 -0.707365 0.706834 0 -3.15844e-05 -0.706841 -0.707372 0 0.306844 -0.148768 0.548493 1 0.10018 0.145413 0.130757 -0.0191735 0.0275036 0.0273532 0.306839 -0.148761 0.54848 5.39676e-08 0 0 0.306844 -0.148768 0.548493 3.14138 -3.14144 -0.785014 3.14139 -3.14144 -0.785028 5.33386e-06 -6.2716e-06 1.35e-05 1.54084e-05 6.35835e-06 -1.38025e-05 
0.99999 -0.000198153 0.000163833 0 -0.000255972 -0.707369 0.706831 0 -2.41711e-05 -0.706838 -0.707376 0 0.306845 -0.148766 0.548495 1 0.0276052 0.154382 -0.00223876 -0.00663246 0.0098314 0.035412 0.306839 -0.148761 0.54848 9.59232e-08 0 0 0.306845 -0.148766 0.548495 3.14138 -3.14144 -0.785014 3.14139 -3.14143 -0.785023 6.59194e-06 -5.00076e-06 1.4659e-05 1.91876e-05 1.30605e-05 -9.09996e-06 
0.99999 -0.000193324 0.00015577 0 -0.000246857 -0.707367 0.706833 0 -2.64618e-05 -0.706839 -0.707374 0 0.306846 -0.148763 0.548491 1 -0.0332007 0.0530003 0.0297357 0.00297908 -0.00404555 -0.000643316 0.306839 -0.148761 0.54848 1.4985e-07 0 0 0.306846 -0.148763 0.548491 3.14138 -3.14144 -0.785014 3.1414 -3.14144 -0.785025 7.60063e-06 -1.84133e-06 1.09573e-05 2.40164e-05 4.99779e-06 -1.12802e-05 
0.99999 -0.00019566 0.000161497 0 -0.000252558 -0.707373 0.706827 0 -2.40596e-05 -0.706833 -0.70738 0 0.306846 -0.148763 0.54849 1 0.00193932 0.0689352 0.0151744 -0.00202945 0.00307922 0.0114476 0.306839 -0.148761 0.54848 2.15741e-07 0 0 0.306846 -0.148763 0.54849 3.14138 -3.14144 -0.785014 3.1414 -3.14143 -0.785016 7.30898e-06 -1.83557e-06 9.99475e-06 2.16804e-05 1.07249e-05 -2.78691e-06 
0.99999 -0.000199829 0.000153368 0 -0.000249761 -0.707378 0.706822 0 -3.27549e-05 -0.706829 -0.707385 0 0.306845 -0.148764 0.548487 1 -0.0204688 0.0273422 -0.0435931 0.00349442 -0.00461207 0.00860339 0.306839 -0.148761 0.54848 2.93589e-07 0 0 0.306845 -0.148764 0.548487 3.14138 -3.14144 -0.785014 3.14139 -3.14144 -0.78501 5.95136e-06 -2.18846e-06 6.68373e-06 1.75121e-05 2.59538e-06 3.77269e-06 
0.99999 -0.000199327 0.000153135 0 -0.000249241 -0.70738 0.706819 0 -3.25637e-05 -0.706826 -0.707387 0 0.306844 -0.148762 0.548487 1 -0.0217329 -0.00395628 -0.108873 0.00566421 -0.00770385 0.012165 0.306839 -0.148761 0.54848 3.83386e-07 0 0 0.306844 -0.148762 0.548487 3.14138 -3.14144 -0.785014 3.14139 -3.14144 -0.785006 5.5054e-06 -8.66164e-07 7.4321e-06 1.8014e-05 2.36289e-06 7.50916e-06 
0.99999 -0.000197665 0.000156036 0 -0.000250116 -0.707386 0.706814 0 -2.93349e-05 -0.706821 -0.707393 0 0.306844 -0.148762 0.548488 1 -0.000218887 -0.00907911 -0.0237288 0.00101446 -0.00105694 0.00311187 0.306839 -0.148761 0.54848 4.85126e-07 0 0 0.306844 -0.148762 0.548488 3.14138 -3.14144 -0.785014 3.14139 -3.14144 -0.784999 5.22459e-06 -9.06371e-08 7.69156e-06 1.96761e-05 5.26387e-06 1.51268e-05 
