t_model t_dynamics t_filter t_traj t_qp_control t_total
64 19 2 2 124 213
13 6 0 1 28 50
11 4 0 0 23 41
11 5 0 0 22 41
11 4 0 0 20 37
11 4 0 0 20 37
10 4 0 0 19 36
10 4 0 0 20 36
11 3 0 0 19 36
11 4 0 0 18 35
11 3 0 0 18 35
11 4 0 0 20 37
11 4 0 0 21 39
11 4 0 0 20 37
10 4 0 0 19 35
11 4 0 0 20 38
10 4 0 0 18 35
11 3 0 0 18 35
11 4 0 0 19 35
10 4 0 0 19 36
10 4 0 0 18 34
10 3 0 0 18 34
10 4 0 0 18 34
11 4 0 0 20 37
10 4 0 0 19 36
10 4 0 0 18 35
10 4 0 0 18 35
11 4 0 0 19 37
11 4 0 0 18 36
10 3 0 0 18 34
10 3 0 0 18 34
11 4 0 0 20 38
10 4 0 0 18 35
10 3 0 0 18 35
10 4 0 0 18 35
11 4 0 0 20 37
12 4 0 0 22 40
11 4 0 0 19 36
11 4 0 0 19 36
11 4 0 0 20 38
11 4 0 0 20 37
10 4 0 0 21 37
10 4 0 0 19 36
11 4 0 0 19 36
11 5 0 0 24 43
11 4 0 0 19 36
10 4 0 0 18 35
10 4 0 0 19 36
10 4 0 0 18 35
10 4 0 0 18 35
10 4 0 0 18 34
10 4 0 0 20 36
10 4 0 0 19 35
10 4 0 0 18 35
10 4 0 0 18 34
11 4 0 0 20 38
11 4 0 0 18 36
10 4 0 0 18 35
10 4 0 0 18 34
10 4 0 0 19 35
10 4 0 0 18 35
10 4 0 0 18 34
10 3 0 0 18 34
10 4 0 0 19 36
10 3 0 0 18 34
10 4 0 0 18 34
10 4 0 0 18 34
10 4 0 0 19 36
10 4 0 0 18 35
10 4 0 0 18 34
10 4 0 0 18 34
10 4 0 0 18 35
10 4 0 0 18 35
10 4 0 0 18 34
10 4 0 0 18 34
10 4 0 0 19 36
10 3 0 0 18 34
10 4 0 0 18 35
10 4 0 0 18 34
11 4 0 0 20 37
11 4 0 0 18 35
13 4 0 0 18 37
10 4 0 0 18 35
11 4 0 0 20 37
10 3 0 0 19 35
10 4 0 0 18 34
10 4 0 0 18 35
10 4 0 0 19 35
11 4 0 0 21 39
10 4 0 0 18 35
11 4 0 0 18 35
10 4 0 0 19 36
10 4 0 0 18 35
10 4 0 0 18 34
10 4 0 0 19 36
11 4 0 0 20 38
10 4 0 0 18 35
11 4 0 0 18 35
17 4 0 0 19 42
16 3 0 0 18 39
11 4 0 0 18 35
11 4 0 0 18 35
11 4 0 0 18 35
11 4 0 0 20 37
10 4 0 0 19 36
10 4 0 0 18 35
11 4 0 0 18 35
11 4 0 0 20 37
10 3 0 0 35 52
11 4 0 0 19 36
11 4 0 0 18 35
13 4 0 0 19 39
11 3 0 0 19 35
11 4 0 0 18 35
10 4 0 0 18 35
11 5 0 1 24 43
11 5 0 1 24 43
10 4 0 0 19 35
11 3 0 0 19 35
11 4 0 0 19 37
21 7 1 1 35 67
13 5 0 0 23 43
24 7 1 1 34 70
16 7 0 1 32 58
11 4 0 0 20 38
10 3 0 0 19 35
10 3 0 0 19 35
10 4 0 0 19 35
10 3 0 0 18 34
10 3 0 0 18 34
10 3 0 0 18 34
11 4 0 0 20 37
10 4 0 0 18 35
11 4 0 0 21 39
10 4 0 0 18 35
11 4 0 0 20 37
10 3 0 0 19 34
10 3 0 0 18 34
10 4 0 0 18 35
11 4 0 0 20 37
10 3 0 0 18 35
10 4 0 0 18 35
10 4 0 0 18 35
10 4 0 0 19 35
10 3 0 0 18 35
10 4 0 0 18 35
10 4 0 0 19 35
10 4 0 0 19 36
10 4 0 0 19 35
10 4 0 0 18 35
10 4 0 0 18 34
11 4 0 0 20 37
10 4 0 0 18 35
11 4 0 0 18 35
10 3 0 0 18 34
10 4 0 0 19 36
10 4 0 0 18 35
10 4 0 0 18 35
10 4 0 0 18 35
10 4 0 0 19 35
10 4 0 0 19 35
10 3 0 0 18 34
10 3 0 0 18 34
10 4 0 0 19 35
