t_model t_dynamics t_filter t_traj t_qp_control t_total
44 20 2 2 128 199
15 6 0 1 29 53
11 4 0 1 22 40
11 4 0 0 21 39
11 4 0 0 19 36
11 4 0 0 19 35
10 4 0 0 18 35
10 4 0 0 19 35
12 5 0 1 26 46
11 4 0 0 19 36
10 4 0 0 18 35
11 4 0 0 20 38
10 4 0 0 19 36
11 3 0 0 18 34
20 5 0 0 23 51
32 7 0 1 30 73
29 7 1 1 30 70
16 5 0 0 21 45
11 3 0 0 18 34
10 4 0 0 20 37
10 3 0 0 18 34
10 3 0 0 18 34
10 3 0 0 18 34
11 4 0 0 19 36
11 4 0 0 18 35
14 4 0 0 21 41
23 6 0 1 28 61
24 7 0 0 29 63
16 4 0 0 19 41
28 7 0 1 29 67
20 6 0 1 26 55
10 3 0 0 19 35
11 3 0 0 18 35
10 3 0 0 18 34
10 3 0 0 18 34
10 4 0 0 19 35
10 4 0 0 18 34
11 4 0 0 18 35
10 3 0 0 18 34
11 4 0 0 19 36
14 5 0 0 22 43
32 8 1 1 32 76
29 7 1 1 34 75
11 4 0 0 20 37
10 4 0 0 18 35
11 3 0 0 18 35
11 3 0 0 18 35
11 6 0 1 24 44
11 4 0 0 19 36
12 4 0 0 21 39
19 6 1 1 26 55
15 5 0 0 24 46
12 4 0 0 19 38
11 4 0 0 19 36
10 3 0 0 18 34
11 4 0 0 20 37
10 4 0 0 18 35
10 3 0 0 18 34
10 3 0 0 18 34
10 4 0 0 19 36
10 3 0 0 18 34
10 3 0 0 18 34
10 3 0 0 18 34
10 4 0 0 19 36
10 4 0 0 18 34
10 4 0 0 18 34
10 3 0 0 18 34
11 4 0 0 19 36
10 4 0 0 18 34
10 3 0 0 18 34
10 3 0 0 18 34
10 4 0 0 19 36
10 3 0 0 18 35
10 3 0 0 18 34
12 5 0 1 25 45
11 4 0 0 21 38
11 4 0 0 19 36
11 4 0 1 24 43
11 4 0 0 19 37
11 4 0 0 20 37
10 3 0 0 18 35
10 3 0 0 18 34
10 3 0 0 18 34
10 4 0 0 19 36
10 3 0 0 18 35
10 3 0 0 18 34
11 3 0 0 18 34
10 4 0 0 19 36
10 3 0 0 18 34
10 4 0 0 18 34
10 3 0 0 18 34
11 4 0 0 20 37
10 4 0 0 18 34
11 4 0 0 22 40
10 4 0 0 18 35
11 4 0 0 20 37
10 4 0 0 19 35
10 3 0 0 18 34
10 3 0 0 18 34
11 4 0 0 19 36
11 3 0 0 18 35
10 3 0 0 18 34
10 3 0 0 19 35
11 4 0 0 20 37
11 4 0 0 18 35
10 3 0 0 18 35
10 3 0 0 18 34
11 4 0 0 37 54
10 4 0 0 29 46
11 4 0 0 27 43
10 4 0 0 25 42
10 4 0 0 27 44
10 4 0 0 18 35
10 4 0 0 18 35
10 3 0 0 18 34
11 4 0 0 20 37
11 4 0 0 19 36
11 3 0 0 18 35
