t_model t_dynamics t_filter t_traj t_qp_control t_total
10 18 0 0 23 53
10 18 0 0 22 52
25 23 0 0 36 86
28 24 0 0 41 95
16 20 0 0 26 65
10 18 0 0 25 55
10 18 0 0 22 52
11 19 0 0 26 57
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 22 52
10 18 0 0 21 51
11 19 0 0 22 54
10 18 0 0 22 51
27 24 0 0 41 94
27 25 0 0 38 92
12 18 0 0 23 55
10 18 0 0 25 55
10 18 0 0 24 54
10 18 0 0 22 51
10 18 0 0 22 52
10 17 0 0 22 51
11 18 0 0 24 53
10 18 0 0 22 51
10 18 0 0 22 51
10 17 0 0 22 51
25 24 0 0 40 92
28 25 0 0 41 96
13 18 0 0 23 56
10 18 0 0 25 54
11 18 0 0 24 55
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 22 51
11 18 0 0 24 54
10 18 0 0 22 52
10 17 0 0 21 50
10 17 0 0 22 51
11 18 0 0 24 54
25 24 0 0 37 89
28 27 0 0 44 100
14 19 0 0 24 59
11 18 0 0 25 56
10 18 0 0 23 52
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 22 51
10 17 0 0 22 50
10 17 0 0 22 51
10 18 0 0 23 52
10 18 0 0 22 51
24 24 0 0 36 86
27 25 0 0 40 94
16 20 0 0 29 67
11 18 0 0 25 55
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 24 53
10 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 22 51
11 18 0 0 23 53
10 18 0 0 23 53
11 19 0 0 23 55
24 23 0 0 36 85
27 25 0 0 41 96
17 19 0 0 28 66
10 18 0 0 24 55
10 18 0 0 22 52
10 18 0 0 22 52
10 17 0 0 21 51
10 18 0 0 22 51
10 17 0 0 22 51
11 18 0 0 26 56
10 18 0 0 22 51
10 18 0 0 22 52
10 18 0 0 22 51
22 23 0 0 35 82
27 26 0 0 40 95
16 19 0 0 26 64
11 18 0 0 24 55
10 18 0 0 23 52
10 18 0 0 22 51
10 18 0 0 21 51
10 18 0 0 21 51
11 18 0 0 23 53
10 18 0 0 22 51
10 17 0 0 21 51
10 18 0 0 22 52
11 18 0 0 24 54
23 23 0 0 35 83
28 25 0 0 43 98
16 19 0 0 25 61
11 18 0 0 25 56
10 18 0 0 22 52
10 18 0 0 22 51
10 17 0 0 21 51
10 18 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 23 53
10 18 0 0 22 52
23 24 0 0 37 87
27 25 0 0 41 95
17 20 0 0 29 67
11 18 0 0 24 55
11 18 0 0 25 55
10 18 0 0 23 52
10 18 0 0 23 53
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 24 54
10 18 0 0 22 52
10 18 0 0 22 51
18 20 0 0 32 72
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 22 51
11 18 0 0 24 54
10 18 0 0 23 52
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 22 52
10 18 0 0 22 51
10 17 0 0 22 50
12 19 0 0 23 56
23 24 0 0 37 86
28 25 0 0 41 95
17 19 0 0 26 63
10 18 0 0 22 52
11 18 0 0 24 54
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 22 51
11 18 0 0 23 53
10 18 0 0 22 52
10 17 0 0 22 51
10 18 0 0 22 51
11 19 0 0 26 57
23 23 0 0 36 84
27 25 0 0 40 95
16 19 0 0 25 62
11 18 0 0 23 54
10 18 0 0 22 52
10 18 0 0 22 51
10 18 0 0 22 52
10 18 0 0 23 52
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 21 51
10 18 0 0 23 53
10 18 0 0 24 53
18 23 0 0 31 74
27 27 0 0 41 97
18 20 0 0 31 71
10 18 0 0 23 52
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 24 53
10 17 0 0 22 52
10 18 0 0 22 51
10 18 0 0 22 51
11 18 0 0 24 54
10 17 0 0 22 51
10 18 0 0 22 52
24 24 0 0 35 84
27 25 0 0 43 98
17 20 0 0 29 67
10 18 0 0 23 53
10 17 0 0 22 51
10 18 0 0 24 54
23 23 0 0 41 89
11 18 0 0 29 60
10 18 0 0 24 53
10 18 0 0 23 52
10 18 0 0 22 51
10 18 0 0 22 51
11 19 0 0 24 56
20 23 0 0 34 78
27 25 0 0 41 94
17 20 0 0 29 68
10 17 0 0 22 52
10 17 0 0 24 53
10 17 0 0 23 52
10 17 0 0 22 51
10 18 0 0 22 51
11 18 0 0 24 54
10 18 0 0 22 51
10 18 0 0 22 51
10 17 0 0 22 51
10 18 0 0 24 54
14 21 0 0 29 66
26 25 0 0 40 92
18 20 0 0 31 72
11 18 0 0 24 54
10 18 0 0 23 52
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 23 52
10 18 0 0 22 51
10 17 0 0 22 51
10 18 0 0 23 52
10 18 0 0 23 52
10 18 0 0 22 51
17 21 0 0 28 68
27 25 0 0 39 93
20 22 0 0 36 79
10 18 0 0 23 53
10 17 0 0 22 52
10 17 0 0 22 51
11 18 0 0 24 54
10 18 0 0 22 52
10 18 0 0 22 52
10 18 0 0 22 51
10 18 0 0 24 54
10 18 0 0 22 51
14 21 0 0 29 65
28 25 0 0 42 97
19 21 0 0 33 75
10 18 0 0 23 52
10 18 0 0 22 52
10 18 0 0 23 53
10 17 0 0 22 52
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 24 53
12 19 0 0 26 58
10 18 0 0 24 54
12 18 0 0 26 57
13 20 0 0 30 65
16 22 0 0 33 73
27 25 0 0 41 95
19 22 0 0 35 78
11 19 0 0 27 58
11 18 0 0 25 55
11 18 0 0 24 55
11 19 0 0 26 57
10 16 0 0 23 50
8 14 0 0 19 43
7 13 0 0 19 41
7 12 0 0 16 37
6 10 0 0 16 34
13 11 0 0 21 47
7 8 0 0 13 30
4 7 0 0 8 20
3 6 0 0 8 18
3 5 0 0 7 16
2 4 0 0 6 13
2 4 0 0 5 11
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 5 12
2 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
3 4 0 0 6 15
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
1 3 0 0 3 9
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 5 11
1 3 0 0 4 9
2 3 0 0 5 12
3 3 0 0 5 12
3 3 0 0 6 14
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 5 11
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 5 11
2 3 0 0 4 9
3 3 0 0 6 13
2 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 11
3 4 0 0 5 13
2 3 0 0 4 9
1 3 0 0 4 9
2 3 0 0 4 9
2 3 0 0 5 10
2 3 0 0 5 11
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
1 3 0 0 4 9
2 3 0 0 5 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
1 3 0 0 3 9
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
1 3 0 0 4 9
1 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
1 3 0 0 4 9
1 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 5 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 5 12
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
1 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 5 11
1 3 0 0 4 9
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
1 3 0 0 3 9
1 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 9
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 3 9
2 3 0 0 4 9
1 3 0 0 3 9
2 3 0 0 4 10
1 3 0 0 3 9
2 3 0 0 4 9
1 3 0 0 3 9
2 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 10
2 3 0 0 4 10
1 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 9
2 3 0 0 4 10
2 3 0 0 4 9
2 3 0 0 4 10
