t_model t_dynamics t_filter t_traj t_qp_control t_total
63 56 0 0 149 271
15 23 0 0 35 75
11 21 0 0 28 62
11 19 0 0 25 56
11 18 0 0 25 55
11 19 0 0 25 57
10 18 0 0 24 54
10 18 0 0 22 52
11 18 0 0 23 53
11 18 0 0 26 57
11 18 0 0 23 53
11 19 0 0 25 56
10 18 0 0 23 52
11 18 0 0 22 52
10 18 0 0 22 52
11 18 0 0 22 52
11 18 0 0 22 52
11 18 0 0 22 52
11 18 0 0 22 52
11 17 0 0 22 52
11 18 0 0 22 52
11 17 0 0 22 52
12 19 0 0 29 62
11 18 0 0 23 54
11 18 0 0 24 55
11 18 0 0 23 53
11 18 0 0 22 52
10 18 0 0 22 52
11 18 0 0 23 54
11 18 0 0 22 53
11 18 0 0 22 52
11 19 0 0 28 59
12 20 0 0 31 65
11 18 0 0 24 54
12 19 0 0 27 59
11 18 0 0 22 53
12 18 0 0 25 56
12 19 0 0 29 62
13 19 0 0 31 65
12 18 0 0 25 57
11 18 0 0 25 56
11 18 0 0 23 53
11 18 0 0 22 53
11 18 0 0 22 52
11 18 0 0 24 55
11 18 0 0 22 52
11 17 0 0 22 52
11 18 0 0 22 53
11 18 0 0 23 54
11 18 0 0 22 52
11 17 0 0 22 52
11 18 0 0 22 52
11 18 0 0 24 54
10 18 0 0 22 52
10 18 0 0 21 51
12 19 0 0 28 60
11 18 0 0 22 52
11 18 0 0 22 52
11 18 0 0 22 52
11 18 0 0 22 52
11 18 0 0 23 54
11 18 0 0 22 52
11 17 0 0 22 52
11 18 0 0 22 52
11 18 0 0 24 55
11 17 0 0 22 52
10 18 0 0 22 51
11 18 0 0 25 57
11 18 0 0 23 54
11 18 0 0 22 52
10 18 0 0 22 51
11 18 0 0 22 52
11 18 0 0 23 54
11 18 0 0 22 52
11 18 0 0 23 52
11 17 0 0 22 52
11 18 0 0 23 54
11 18 0 0 22 51
11 18 0 0 22 52
10 18 0 0 22 52
11 18 0 0 23 54
11 18 0 0 22 53
11 18 0 0 22 52
11 17 0 0 22 52
