t_model t_dynamics t_filter t_traj t_qp_control t_total
66 60 0 0 143 272
26 42 0 0 53 123
30 25 0 0 37 94
46 31 0 0 51 130
46 28 0 0 43 119
16 20 0 0 40 78
14 20 0 0 27 63
19 20 0 0 29 70
16 19 0 0 25 62
15 19 0 0 41 77
14 20 0 0 26 61
15 19 0 0 23 59
16 19 0 0 24 60
16 32 0 0 38 88
35 27 0 0 42 106
24 23 0 0 30 78
27 24 0 0 39 93
26 20 0 0 31 78
15 19 0 0 24 59
18 21 0 0 27 67
24 20 0 0 42 88
15 19 0 0 24 59
15 19 0 0 23 59
15 19 0 0 23 58
15 19 0 0 24 59
16 19 0 0 23 60
17 19 0 0 24 62
16 19 0 0 23 59
58 29 0 0 39 128
38 26 0 0 44 110
29 24 0 0 35 90
33 24 0 0 41 100
33 23 0 0 72 130
27 24 0 0 39 93
25 23 0 0 38 87
16 19 0 0 25 62
15 47 0 0 24 89
16 20 0 0 26 63
17 23 0 0 36 78
18 23 0 0 35 78
28 24 0 0 36 90
28 25 0 0 38 92
34 24 0 0 40 100
39 24 0 0 36 101
24 21 0 0 34 81
21 23 0 0 38 83
16 21 0 0 32 70
13 21 0 0 30 66
14 19 0 0 25 61
15 19 0 0 24 59
15 19 0 0 24 60
15 19 0 0 24 60
13 39 0 0 34 88
25 26 0 0 43 95
32 26 0 0 43 104
24 22 0 0 34 82
24 21 0 0 66 112
22 22 0 0 36 82
16 22 0 0 33 73
14 20 0 0 30 65
14 19 0 0 26 61
15 19 0 0 24 59
15 19 0 0 23 58
15 18 0 0 23 58
15 19 0 0 40 76
14 21 0 0 29 66
13 23 0 0 34 71
26 27 0 0 44 100
34 47 0 0 45 128
24 21 0 0 35 82
23 21 0 0 34 80
21 23 0 0 41 87
16 21 0 0 49 87
14 20 0 0 27 63
15 19 0 0 24 59
15 18 0 0 23 58
15 18 0 0 23 58
14 19 0 0 25 60
15 19 0 0 23 58
15 19 0 0 23 58
17 20 0 0 42 80
14 21 0 0 29 65
15 19 0 0 24 59
15 19 0 0 23 58
3 3 0 0 4 12
2 3 0 0 4 11
5 4 0 0 6 15
20 20 0 0 26 67
18 19 0 0 24 63
15 19 0 0 25 61
15 19 0 0 23 59
18 20 0 0 26 65
7 4 0 0 7 19
7 5 0 0 10 24
6 5 0 0 9 21
5 4 0 0 8 18
23 19 0 2 80 127
24 17 0 0 29 71
21 20 0 0 33 76
21 19 0 0 29 71
17 18 0 0 23 60
13 17 0 0 22 54
15 19 0 0 23 59
16 19 0 0 24 60
15 19 0 0 23 60
14 23 0 0 34 73
20 24 0 0 37 83
28 24 0 0 36 91
31 40 0 0 34 108
30 20 0 0 35 87
19 16 0 0 27 64
25 18 0 0 31 76
14 19 0 0 65 100
11 16 0 0 19 47
10 14 0 0 17 43
23 22 0 0 34 80
53 26 0 0 40 121
25 21 0 0 35 84
21 19 0 0 32 74
23 19 0 0 33 77
26 17 0 0 44 89
22 14 0 0 26 63
20 14 0 0 25 60
11 12 0 0 23 49
9 10 0 0 13 34
14 19 0 0 25 60
21 21 0 0 33 77
17 16 0 0 28 63
12 13 0 0 17 44
11 12 0 0 16 41
12 13 0 0 19 46
18 16 0 0 24 59
23 16 0 0 43 84
22 14 0 0 27 65
24 15 0 0 26 67
10 10 0 0 15 36
9 10 0 0 13 33
22 21 0 0 31 76
16 13 0 0 21 51
11 11 0 0 15 38
8 10 0 0 12 31
8 10 0 0 14 33
9 11 0 0 15 37
12 14 0 0 19 46
22 18 0 0 39 81
28 18 0 0 33 81
27 17 0 0 29 75
22 15 0 0 26 65
22 15 0 0 42 79
10 11 0 0 15 37
10 11 0 0 15 37
27 13 0 0 22 64
17 14 0 0 22 54
9 12 0 0 15 38
9 11 0 0 14 36
11 12 0 0 15 40
12 14 0 0 18 45
27 21 0 0 37 87
32 21 0 0 35 89
31 18 0 0 33 84
26 17 0 0 41 87
21 16 0 0 26 64
13 11 0 0 18 44
16 19 0 0 23 59
20 20 0 0 35 77
22 16 0 0 27 66
12 12 0 0 16 42
9 10 0 0 13 34
9 11 0 0 14 36
10 13 0 0 17 42
13 14 0 0 21 50
27 17 0 0 29 75
23 16 0 0 50 91
25 16 0 0 29 72
12 11 0 0 17 41
9 10 0 0 12 32
17 20 0 0 40 78
28 22 0 0 35 87
15 13 0 0 19 49
9 10 0 0 12 32
8 10 0 0 12 31
9 12 0 0 15 38
12 13 0 0 21 48
26 19 0 0 31 77
24 15 0 0 26 67
17 15 0 0 26 58
23 14 0 0 24 63
9 9 0 0 12 31
9 11 0 0 13 34
25 25 0 0 22 74
17 14 0 0 22 55
11 12 0 0 14 38
8 10 0 0 12 31
9 11 0 0 14 36
10 13 0 0 16 40
12 14 0 0 18 45
23 18 0 0 36 79
30 21 0 0 36 90
28 19 0 0 35 83
19 16 0 0 27 64
31 18 0 0 51 101
14 13 0 0 20 48
10 11 0 0 13 35
18 20 0 0 26 67
28 52 0 0 39 121
13 13 0 0 22 50
9 11 0 0 13 34
8 10 0 0 12 32
10 12 0 0 14 37
25 17 0 0 31 74
27 17 0 0 31 77
13 12 0 0 20 46
13 12 0 0 18 44
9 10 0 0 13 34
8 10 0 0 13 33
27 23 0 0 35 86
13 12 0 0 17 43
8 10 0 0 14 34
8 10 0 0 12 31
10 11 0 0 14 36
10 12 0 0 15 39
11 14 0 0 19 45
27 20 0 0 32 80
32 21 0 0 35 90
30 31 0 0 31 93
12 13 0 0 16 43
22 15 0 0 24 63
9 10 0 0 12 32
15 18 0 0 23 58
19 21 0 0 31 73
15 14 0 0 21 51
13 15 0 0 20 50
10 12 0 0 15 39
10 14 0 0 19 44
12 15 0 0 19 48
14 17 0 0 24 57
33 37 0 0 35 107
30 19 0 0 34 85
27 17 0 0 28 74
19 14 0 0 22 57
12 11 0 0 25 49
10 11 0 0 14 35
12 12 0 0 17 43
16 14 0 0 21 52
11 12 0 0 16 41
9 10 0 0 13 34
10 11 0 0 15 37
13 15 0 0 18 47
26 17 0 0 24 68
27 17 0 0 27 72
24 15 0 0 28 68
18 14 0 0 24 57
8 8 0 0 11 28
8 10 0 0 12 31
29 22 0 0 36 89
14 13 0 0 19 46
9 11 0 0 20 42
9 11 0 0 14 35
9 12 0 0 15 38
11 13 0 0 17 42
13 35 0 0 26 74
25 19 0 0 29 75
32 20 0 0 36 90
30 19 0 0 34 84
11 13 0 0 37 63
17 15 0 0 21 54
12 11 0 0 18 42
16 19 0 0 23 59
20 12 0 0 28 62
16 14 0 0 23 55
13 14 0 0 18 47
11 13 0 0 17 43
12 15 0 0 18 47
14 17 0 0 22 53
18 17 0 0 24 60
29 19 0 0 33 82
26 15 0 0 37 81
14 12 0 0 20 47
12 10 0 0 17 40
9 10 0 0 12 32
18 20 0 0 58 98
27 22 0 0 35 86
13 13 0 0 18 45
11 12 0 0 15 39
9 11 0 0 14 36
10 14 0 0 18 44
12 15 0 0 19 47
26 19 0 0 30 77
26 17 0 0 31 76
26 17 0 0 29 74
9 11 0 0 13 35
13 14 0 0 17 45
8 9 0 0 11 30
22 21 0 0 31 76
13 12 0 0 18 45
11 12 0 0 14 38
9 11 0 0 14 35
11 13 0 0 17 43
12 16 0 0 21 50
15 17 0 0 20 54
22 36 0 0 32 91
17 15 0 0 26 60
9 11 0 0 14 36
8 10 0 0 13 34
13 11 0 0 18 44
8 9 0 0 12 31
21 20 0 0 28 71
14 12 0 0 19 47
13 13 0 0 17 44
10 12 0 0 15 39
11 13 0 0 17 42
12 15 0 0 19 47
15 18 0 0 35 69
15 19 0 0 26 61
33 21 0 0 37 93
31 20 0 0 30 83
24 14 0 0 22 62
18 14 0 0 22 55
11 10 0 0 16 39
8 10 0 0 12 31
27 22 0 0 72 123
15 14 0 0 21 52
11 13 0 0 15 41
9 11 0 0 14 36
11 12 0 0 16 40
12 15 0 0 20 49
24 18 0 0 27 71
29 17 0 0 30 78
15 13 0 0 21 51
17 13 0 0 23 55
10 9 0 0 14 35
9 11 0 0 16 37
31 23 0 0 56 112
14 13 0 0 19 47
9 11 0 0 14 36
9 11 0 0 14 36
11 13 0 0 17 42
12 15 0 0 21 49
13 17 0 0 21 53
31 20 0 0 35 88
31 46 0 0 38 117
17 15 0 0 25 59
15 13 0 0 18 48
12 11 0 0 18 43
9 10 0 0 17 37
20 21 0 0 30 71
15 13 0 0 20 49
12 13 0 0 17 44
10 12 0 0 29 52
11 15 0 0 19 46
12 15 0 0 19 47
14 17 0 0 21 53
16 19 0 0 24 61
32 21 0 0 38 93
30 18 0 0 33 83
28 15 0 0 22 67
20 14 0 0 36 71
10 11 0 0 14 36
9 11 0 0 13 34
25 21 0 0 33 81
15 14 0 0 32 62
11 13 0 0 17 43
10 12 0 0 15 38
10 12 0 0 17 41
11 15 0 0 19 46
19 18 0 0 30 68
26 17 0 0 30 75
14 13 0 0 20 48
13 30 0 0 24 69
8 9 0 0 12 31
19 15 0 0 24 60
11 13 0 0 15 40
11 30 0 0 16 58
10 12 0 0 16 40
9 12 0 0 15 38
10 12 0 0 15 38
12 15 0 0 19 47
12 15 0 0 20 49
30 23 0 0 34 89
30 21 0 0 34 86
32 18 0 0 45 98
14 14 0 0 19 47
17 15 0 0 22 55
12 11 0 0 18 43
17 19 0 0 73 110
19 21 0 0 29 71
16 14 0 0 22 53
14 14 0 0 18 47
12 36 0 0 20 69
13 15 0 0 20 49
13 17 0 0 21 53
15 16 0 0 22 55
29 35 0 0 30 96
