t_model t_dynamics t_filter t_traj t_qp_control t_total
46 53 0 0 123 224
13 24 0 0 34 73
11 21 0 0 27 61
10 20 0 0 25 57
11 19 0 0 27 59
10 19 0 0 24 54
10 18 0 0 22 52
10 18 0 0 22 52
11 19 0 0 25 56
10 18 0 0 23 53
10 18 0 0 23 53
10 18 0 0 22 51
11 18 0 0 25 55
10 18 0 0 24 54
10 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 23 53
10 18 0 0 22 52
10 17 0 0 21 51
10 17 0 0 21 50
11 18 0 0 23 53
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 21 51
11 18 0 0 23 54
11 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 22 52
10 18 0 0 23 52
12 19 0 0 29 61
11 19 0 0 26 58
10 18 0 0 24 54
11 19 0 0 27 60
11 18 0 0 23 54
11 18 0 0 22 53
11 18 0 0 22 53
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 23 53
10 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 21 50
10 18 0 0 21 50
11 18 0 0 23 54
10 18 0 0 22 51
10 18 0 0 21 51
10 18 0 0 21 50
11 18 0 0 23 53
10 18 0 0 22 51
10 18 0 0 21 50
10 18 0 0 21 51
10 18 0 0 22 52
11 18 0 0 21 51
10 18 0 0 21 50
10 18 0 0 21 51
10 18 0 0 22 51
10 18 0 0 21 51
10 18 0 0 21 51
10 17 0 0 21 50
10 18 0 0 23 53
10 18 0 0 22 52
11 19 0 0 25 56
10 18 0 0 21 51
10 18 0 0 23 53
10 18 0 0 22 51
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 23 53
10 18 0 0 22 51
10 18 0 0 21 51
10 18 0 0 21 51
11 18 0 0 23 53
10 18 0 0 22 51
10 18 0 0 21 51
11 18 0 0 21 51
10 18 0 0 23 53
10 18 0 0 22 51
10 17 0 0 21 50
10 18 0 0 21 51
10 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 22 51
11 19 0 0 25 56
11 18 0 0 23 54
10 18 0 0 21 51
10 17 0 0 21 50
10 18 0 0 21 51
10 18 0 0 23 53
10 18 0 0 21 51
10 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 22 51
10 18 0 0 21 51
10 18 0 0 21 51
11 18 0 0 22 53
10 18 0 0 24 53
10 18 0 0 21 51
10 18 0 0 21 50
10 18 0 0 21 51
11 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 21 51
11 18 0 0 21 51
10 18 0 0 22 52
11 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 21 51
11 18 0 0 23 53
11 18 0 0 22 52
10 18 0 0 21 51
11 19 0 0 25 56
11 18 0 0 23 53
10 18 0 0 21 51
10 18 0 0 21 51
11 18 0 0 21 51
11 18 0 0 22 52
10 18 0 0 21 50
10 18 0 0 21 51
10 18 0 0 21 50
11 18 0 0 23 53
10 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 22 52
10 18 0 0 23 53
10 18 0 0 22 51
10 18 0 0 21 51
10 18 0 0 21 50
11 18 0 0 22 52
10 17 0 0 21 51
10 18 0 0 21 51
10 18 0 0 21 50
10 18 0 0 23 53
10 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 21 51
10 17 0 0 21 51
11 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 21 50
10 18 0 0 21 50
11 19 0 0 26 57
11 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 22 52
10 18 0 0 22 51
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 21 51
11 18 0 0 23 53
11 18 0 0 22 52
10 18 0 0 22 51
10 18 0 0 21 51
11 18 0 0 22 53
11 18 0 0 22 51
10 18 0 0 22 52
10 18 0 0 21 50
10 18 0 0 23 53
10 18 0 0 22 51
10 17 0 0 21 51
10 17 0 0 21 50
11 18 0 0 22 53
10 18 0 0 22 51
11 18 0 0 23 54
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 22 51
11 19 0 0 26 57
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 21 51
11 18 0 0 23 53
10 18 0 0 22 51
11 18 0 0 21 51
10 18 0 0 21 51
11 18 0 0 23 53
10 18 0 0 22 52
10 18 0 0 22 51
10 17 0 0 21 50
11 18 0 0 22 53
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 22 52
10 18 0 0 22 51
10 18 0 0 21 50
10 18 0 0 21 50
10 18 0 0 23 53
10 18 0 0 22 52
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 22 52
10 18 0 0 22 51
10 18 0 0 21 51
10 18 0 0 21 51
10 18 0 0 22 51
10 18 0 0 22 51
10 18 0 0 21 51
10 18 0 0 21 50
