t_model t_dynamics t_filter t_traj t_qp_control t_total
23 33 0 0 89 148
6 12 0 0 19 38
5 10 0 0 11 27
5 9 0 0 15 30
11 9 0 0 9 30
5 9 0 0 9 24
5 9 0 0 8 23
5 9 0 0 8 23
5 14 0 0 13 34
5 9 0 0 9 24
5 9 0 0 8 23
5 10 0 0 8 24
13 13 0 0 8 36
5 9 0 0 8 23
5 9 0 0 8 23
5 9 0 0 8 23
5 14 0 0 8 28
5 9 0 0 8 23
5 9 0 0 8 23
5 10 0 0 8 24
5 9 0 0 8 23
5 8 0 0 8 23
5 9 0 0 8 23
5 9 0 0 8 23
8 10 0 0 8 27
5 9 0 0 10 25
5 9 0 0 8 23
5 9 0 0 10 26
5 9 0 0 8 23
5 10 0 0 8 25
5 9 0 0 8 23
5 10 0 0 8 24
5 20 0 0 12 37
5 11 0 0 10 27
5 9 0 0 9 24
5 9 0 0 8 23
5 9 0 0 8 23
5 9 0 0 8 23
5 9 0 0 15 29
5 8 0 0 8 23
5 10 0 0 8 24
5 8 0 0 8 22
5 9 0 0 8 23
5 9 0 0 8 23
5 10 0 0 8 25
5 10 0 0 8 25
5 9 0 0 8 23
5 9 0 0 8 23
5 9 0 0 17 32
5 9 0 0 8 23
5 9 0 0 8 23
5 9 0 0 8 23
8 8 0 0 8 26
5 9 0 0 8 23
5 9 0 0 8 22
5 10 0 0 8 23
5 8 0 0 8 22
5 10 0 0 8 24
5 9 0 0 8 22
5 9 0 0 8 23
5 21 0 0 12 39
5 10 0 0 8 24
5 9 0 0 8 23
5 9 0 0 8 23
5 10 0 0 8 24
5 9 0 0 8 23
5 10 0 0 8 25
5 10 0 0 8 24
10 9 0 0 8 28
5 10 0 0 8 25
5 10 0 0 8 24
5 9 0 0 8 23
10 9 0 0 8 28
5 9 0 0 8 23
5 10 0 0 8 24
5 9 0 0 8 23
37 39 0 0 68 146
13 23 0 0 33 70
11 20 0 0 29 61
10 19 0 0 26 56
10 58 0 0 27 96
11 19 0 0 26 57
10 18 0 0 24 53
10 18 0 0 23 52
10 18 0 0 24 54
10 18 0 0 25 54
10 18 0 0 23 52
10 18 0 0 22 52
10 18 0 0 23 52
21 23 0 0 38 84
11 18 0 0 26 57
10 18 0 0 22 52
10 47 0 0 28 87
10 18 0 0 23 53
