t_model t_dynamics t_filter t_traj t_qp_control t_total
36 35 0 0 95 167
6 12 0 0 18 38
5 9 0 0 10 25
5 10 0 0 9 25
5 10 0 0 8 24
6 10 0 0 15 32
7 10 0 0 10 28
6 10 0 0 14 31
6 11 0 0 19 38
5 10 0 0 11 27
5 10 0 0 9 25
5 10 0 0 8 25
5 10 0 0 8 24
5 9 0 0 8 23
5 9 0 0 8 23
5 10 0 0 9 25
5 10 0 0 8 24
5 9 0 0 15 30
6 10 0 0 14 31
5 9 0 0 11 27
5 10 0 0 8 25
5 9 0 0 8 23
5 9 0 0 9 24
5 10 0 0 9 25
5 10 0 0 9 25
5 10 0 0 8 24
5 10 0 0 8 24
5 10 0 0 8 24
5 9 0 0 9 24
5 10 0 0 8 23
5 9 0 0 8 22
5 11 0 0 14 32
5 10 0 0 12 29
5 9 0 0 10 25
5 10 0 0 8 25
5 16 0 0 8 30
7 9 0 0 8 25
5 10 0 0 8 25
5 9 0 0 9 24
5 10 0 0 8 24
5 9 0 0 8 23
6 9 0 0 14 30
5 9 0 0 11 27
5 10 0 0 8 24
6 10 0 0 14 31
5 10 0 0 10 26
5 9 0 0 10 25
5 9 0 0 9 24
5 10 0 0 8 25
5 9 0 0 8 24
5 10 0 0 9 25
5 10 0 0 9 25
5 9 0 0 8 24
5 9 0 0 8 24
5 10 0 0 9 25
5 10 0 0 15 31
5 9 0 0 9 25
6 10 0 0 15 33
3 3 0 0 6 13
9 11 0 0 13 35
8 11 0 0 13 34
8 11 0 0 13 33
20 16 0 0 26 64
5 10 0 0 8 24
5 9 0 0 8 23
5 10 0 0 9 25
5 10 0 0 9 25
5 9 0 0 8 23
5 10 0 0 8 24
5 9 0 0 8 23
6 11 0 0 16 34
5 10 0 0 11 27
5 9 0 0 9 23
8 12 0 0 14 35
8 11 0 0 13 33
5 10 0 0 8 24
5 9 0 0 8 23
5 10 0 0 8 24
5 10 0 0 8 24
5 10 0 0 8 24
5 8 0 0 8 22
5 10 0 0 8 24
5 10 0 0 8 24
6 11 0 0 14 33
7 11 0 0 17 37
10 12 0 0 28 52
5 10 0 0 10 27
5 10 0 0 9 25
5 10 0 0 8 25
5 9 0 0 8 24
5 10 0 0 8 24
7 10 0 0 8 26
6 10 0 0 14 32
5 9 0 0 10 26
5 10 0 0 11 27
5 10 0 0 9 25
5 10 0 0 9 26
5 10 0 0 8 24
5 9 0 0 9 24
5 10 0 0 9 25
6 11 0 0 14 32
5 9 0 0 11 27
5 9 0 0 8 24
5 10 0 0 8 24
5 10 0 0 8 24
5 10 0 0 15 31
5 9 0 0 8 23
5 10 0 0 8 24
6 10 0 0 13 31
6 11 0 0 16 35
5 12 0 0 10 29
5 10 0 0 8 24
5 9 0 0 8 23
5 10 0 0 8 24
5 9 0 0 10 25
5 10 0 0 8 24
5 9 0 0 9 24
5 9 0 0 8 23
5 10 0 0 8 24
5 10 0 0 8 24
5 10 0 0 8 24
5 9 0 0 8 23
5 10 0 0 9 26
5 10 0 0 8 24
8 11 0 0 18 39
8 12 0 0 18 40
5 11 0 0 10 27
5 10 0 0 8 24
5 10 0 0 8 24
38 37 0 0 71 149
12 23 0 0 35 73
11 21 0 0 29 62
10 19 0 0 27 58
11 20 0 0 30 63
11 19 0 0 27 59
11 18 0 0 24 55
10 18 0 0 23 53
10 17 0 0 23 52
11 18 0 0 25 56
11 19 0 0 25 57
10 18 0 0 23 53
10 18 0 0 23 52
11 18 0 0 25 55
10 18 0 0 23 52
10 18 0 0 22 51
11 18 0 0 22 52
10 18 0 0 24 54
10 17 0 0 23 52
10 17 0 0 22 52
10 17 0 0 22 51
10 18 0 0 23 53
11 18 0 0 23 53
11 18 0 0 23 54
10 18 0 0 22 52
10 18 0 0 24 54
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 24 54
10 17 0 0 23 52
10 17 0 0 22 51
10 17 0 0 23 52
11 18 0 0 25 55
12 18 0 0 24 56
12 18 0 0 23 54
12 18 0 0 23 55
12 19 0 0 27 59
11 18 0 0 22 52
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 24 54
10 18 0 0 22 52
10 18 0 0 22 51
10 17 0 0 22 51
12 18 0 0 24 55
10 17 0 0 22 51
11 17 0 0 23 53
11 17 0 0 22 52
12 18 0 0 24 56
10 18 0 0 23 52
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 23 53
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
11 18 0 0 25 56
10 18 0 0 23 52
10 17 0 0 22 51
10 17 0 0 22 51
11 18 0 0 24 55
11 18 0 0 22 53
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 24 53
10 17 0 0 22 51
10 17 0 0 22 50
10 17 0 0 22 50
10 17 0 0 23 51
10 17 0 0 22 51
12 18 0 0 26 57
14 18 0 0 24 56
15 19 0 0 26 60
12 18 0 0 23 54
12 18 0 0 22 52
10 17 0 0 22 51
11 18 0 0 24 54
10 18 0 0 22 51
10 17 0 0 21 50
11 18 0 0 23 53
13 18 0 0 25 57
10 17 0 0 22 51
10 17 0 0 21 50
12 17 0 0 23 54
12 19 0 0 24 57
13 18 0 0 24 57
11 18 0 0 23 53
11 18 0 0 24 54
11 18 0 0 25 57
10 18 0 0 23 52
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 24 53
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
12 18 0 0 24 55
11 17 0 0 22 52
12 17 0 0 23 54
11 18 0 0 22 52
11 18 0 0 24 55
10 18 0 0 22 52
10 17 0 0 22 51
11 18 0 0 25 56
11 17 0 0 23 53
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 52
11 18 0 0 22 52
12 18 0 0 23 55
13 18 0 0 24 57
13 18 0 0 26 58
12 18 0 0 22 53
10 17 0 0 22 51
12 17 0 0 23 54
11 18 0 0 25 56
10 18 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 24 54
10 18 0 0 22 51
12 18 0 0 23 55
13 18 0 0 23 56
11 18 0 0 24 55
12 18 0 0 23 56
12 18 0 0 22 54
13 18 0 0 24 57
15 20 0 0 29 66
16 19 0 0 27 64
18 19 0 0 27 66
19 19 0 0 27 66
18 19 0 0 29 68
17 19 0 0 27 65
15 20 0 0 26 62
6 4 0 0 8 20
14 19 0 0 26 60
12 19 0 0 26 58
11 17 0 0 22 52
11 18 0 0 22 52
10 18 0 0 22 52
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
11 18 0 0 25 55
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 50
11 18 0 0 24 54
10 18 0 0 22 52
13 18 0 0 23 55
13 19 0 0 24 57
10 17 0 0 22 51
10 18 0 0 22 52
10 17 0 0 21 50
10 17 0 0 20 49
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 23 52
10 17 0 0 22 51
10 17 0 0 21 51
11 17 0 0 21 51
11 18 0 0 23 53
10 17 0 0 22 51
10 17 0 0 21 50
10 17 0 0 21 50
10 17 0 0 22 51
10 17 0 0 21 51
10 18 0 0 22 51
11 19 0 0 26 57
10 18 0 0 23 53
10 17 0 0 22 51
10 18 0 0 22 52
10 17 0 0 22 51
11 18 0 0 24 54
11 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 50
10 18 0 0 23 52
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 50
10 17 0 0 21 50
10 17 0 0 21 50
10 18 0 0 24 54
11 18 0 0 22 53
11 17 0 0 21 51
11 17 0 0 22 52
11 18 0 0 24 54
10 17 0 0 22 51
10 17 0 0 22 50
10 17 0 0 21 50
10 18 0 0 24 53
10 17 0 0 22 51
10 17 0 0 22 50
10 17 0 0 22 50
10 17 0 0 22 51
10 17 0 0 21 51
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 23 53
11 20 0 0 26 59
10 18 0 0 23 52
10 17 0 0 22 51
10 18 0 0 24 54
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 23 52
10 17 0 0 22 51
10 17 0 0 22 50
10 17 0 0 22 50
10 18 0 0 25 54
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
11 18 0 0 24 54
10 18 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 23 52
10 17 0 0 22 51
10 17 0 0 22 51
11 17 0 0 22 51
11 18 0 0 24 53
10 17 0 0 22 51
10 17 0 0 22 52
10 17 0 0 22 51
11 18 0 0 24 54
10 17 0 0 22 52
10 17 0 0 22 51
10 17 0 0 22 50
10 17 0 0 23 53
10 17 0 0 22 51
10 17 0 0 22 51
11 18 0 0 26 56
11 17 0 0 24 54
11 17 0 0 22 51
10 17 0 0 21 50
10 17 0 0 22 50
10 18 0 0 24 54
10 17 0 0 22 51
10 17 0 0 22 50
10 17 0 0 22 51
10 17 0 0 23 52
10 17 0 0 22 50
10 17 0 0 21 50
11 17 0 0 23 53
10 17 0 0 22 51
10 17 0 0 22 50
10 17 0 0 22 51
10 17 0 0 22 51
11 18 0 0 23 53
10 18 0 0 22 52
10 18 0 0 22 51
10 17 0 0 22 50
10 18 0 0 23 52
10 18 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 23 53
10 18 0 0 22 51
11 18 0 0 22 52
10 17 0 0 22 51
11 18 0 0 24 54
10 18 0 0 22 52
10 17 0 0 22 51
10 18 0 0 23 53
11 18 0 0 25 55
11 18 0 0 25 56
10 18 0 0 22 52
10 17 0 0 22 51
11 18 0 0 24 54
10 18 0 0 22 51
10 18 0 0 22 52
10 17 0 0 21 50
10 18 0 0 23 53
10 18 0 0 22 51
10 17 0 0 22 50
10 17 0 0 22 50
10 18 0 0 23 52
10 17 0 0 22 51
10 17 0 0 21 50
10 17 0 0 21 50
10 17 0 0 23 52
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 23 52
10 17 0 0 21 51
11 18 0 0 22 51
10 17 0 0 22 51
11 17 0 0 24 53
10 17 0 0 22 51
10 17 0 0 22 50
10 17 0 0 22 50
10 17 0 0 23 52
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 23 51
10 17 0 0 22 51
10 17 0 0 22 51
11 18 0 0 25 55
10 17 0 0 23 52
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 21 50
10 17 0 0 23 52
10 17 0 0 22 51
10 17 0 0 22 50
10 17 0 0 22 51
10 18 0 0 23 53
18 22 0 0 37 78
11 18 0 0 26 57
11 17 0 0 23 53
11 17 0 0 23 53
11 18 0 0 22 52
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 24 54
10 18 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
10 18 0 0 24 54
10 17 0 0 22 51
10 17 0 0 21 51
10 17 0 0 22 51
10 18 0 0 24 54
10 18 0 0 22 52
10 18 0 0 22 52
10 18 0 0 23 53
11 18 0 0 25 56
11 18 0 0 23 54
11 18 0 0 24 55
11 18 0 0 24 54
11 19 0 0 28 60
11 18 0 0 24 55
11 18 0 0 24 55
2 3 0 0 4 10
10 18 0 0 23 53
10 18 0 0 22 52
11 18 0 0 22 52
10 17 0 0 22 51
10 18 0 0 24 54
10 18 0 0 22 51
11 17 0 0 22 51
10 18 0 0 24 53
10 18 0 0 22 51
10 17 0 0 22 51
10 17 0 0 21 51
10 17 0 0 22 51
10 17 0 0 23 53
10 18 0 0 22 51
10 17 0 0 22 51
10 18 0 0 22 51
11 18 0 0 24 55
10 18 0 0 24 54
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 23 52
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
11 18 0 0 23 53
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
11 18 0 0 24 54
10 18 0 0 24 53
11 18 0 0 25 56
10 18 0 0 22 51
11 18 0 0 24 54
10 18 0 0 22 52
10 18 0 0 23 52
10 17 0 0 22 51
10 18 0 0 24 54
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 21 51
10 18 0 0 24 53
10 17 0 0 22 51
10 18 0 0 23 53
10 17 0 0 22 52
10 17 0 0 23 53
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 22 51
10 17 0 0 21 50
10 17 0 0 22 50
10 17 0 0 22 50
10 17 0 0 22 51
11 18 0 0 27 58
10 18 0 0 23 52
10 18 0 0 22 51
10 18 0 0 24 53
