time x y z x_d y_d z_d 
0 0.306937 1.3656e-05 0.486778 0.306938 1.32595e-05 0.486776 
0.001 0.306938 1.36889e-05 0.486779 0.306938 1.32595e-05 0.486776 
0.002 0.306938 1.15843e-05 0.486778 0.306938 1.32595e-05 0.486776 
0.003 0.306937 1.32079e-05 0.486777 0.306938 1.32595e-05 0.486776 
0.004 0.306936 1.48908e-05 0.486776 0.306938 1.32595e-05 0.486776 
0.005 0.306937 1.34926e-05 0.486777 0.306938 1.32595e-05 0.486776 
0.006 0.306936 1.31238e-05 0.486779 0.306938 1.32595e-05 0.486776 
0.007 0.306937 1.21652e-05 0.486777 0.306938 1.32595e-05 0.486776 
0.008 0.306939 1.28799e-05 0.486773 0.306938 1.32595e-05 0.486776 
0.009 0.306938 1.50077e-05 0.486771 0.306938 1.32595e-05 0.486776 
0.01 0.306939 1.33648e-05 0.486772 0.306938 1.32595e-05 0.486776 
0.011 0.30694 1.32397e-05 0.486774 0.306938 1.32595e-05 0.486776 
0.012 0.306939 1.25307e-05 0.486775 0.306938 1.32595e-05 0.486776 
0.013 0.306939 1.15709e-05 0.486771 0.306938 1.32595e-05 0.486776 
0.014 0.306939 1.30883e-05 0.486769 0.306938 1.32595e-05 0.486776 
0.015 0.306939 1.24372e-05 0.486769 0.306938 1.32595e-05 0.486776 
0.016 0.306937 1.43683e-05 0.48677 0.306938 1.32595e-05 0.486776 
0.017 0.306938 1.27201e-05 0.486767 0.306938 1.32595e-05 0.486776 
0.018 0.306939 1.20729e-05 0.486767 0.306938 1.32595e-05 0.486776 
0.019 0.306936 1.31776e-05 0.486764 0.306938 1.32595e-05 0.486776 
0.02 0.306937 1.32321e-05 0.486763 0.306938 1.32595e-05 0.486776 
0.021 0.306938 1.30361e-05 0.486766 0.306938 1.32595e-05 0.486776 
0.022 0.30694 1.07178e-05 0.486765 0.306938 1.32595e-05 0.486776 
0.023 0.30694 1.41275e-05 0.486763 0.306938 1.32595e-05 0.486776 
0.024 0.306939 1.2992e-05 0.486765 0.306938 1.32595e-05 0.486776 
0.025 0.30694 1.21061e-05 0.486762 0.306938 1.32595e-05 0.486776 
0.026 0.306939 1.10802e-05 0.48676 0.306938 1.32595e-05 0.486776 
0.027 0.306942 1.23072e-05 0.486763 0.306938 1.32595e-05 0.486776 
0.028 0.30694 1.12145e-05 0.486762 0.306938 1.32595e-05 0.486776 
0.029 0.306942 1.2868e-05 0.486762 0.306938 1.32595e-05 0.486776 
