O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z
0.999803 -0.0135495 -0.0138157 0 -0.0132676 -0.999696 0.0202919 0 -0.0140867 -0.020105 -0.999699 0 0.309325 -0.00357277 0.483319 1 -0.00585332 0.00261081 0.000268899 -0.000502649 -0.00127193 5.49288e-05 0.00212806 -5.4231e-05 0.0101599 0.000171765 0.000855572 -1.95798e-05 0.309328 -0.003573 0.483326 1.08661e-06 0 -1.08661e-06 0.000197347 0 -0.000197347 
0.999803 -0.0135465 -0.0138164 0 -0.0132645 -0.999696 0.0202966 0 -0.0140874 -0.0201097 -0.999699 0 0.309326 -0.00357253 0.48332 1 -0.00374242 -4.7205e-05 -0.000958577 -2.37528e-05 -0.000838611 2.17948e-05 -0.00055286 1.40872e-05 -0.0026395 -4.46256e-05 -0.000222273 5.08784e-06 0.309328 -0.003573 0.483326 1.29289e-06 0 -1.29289e-06 0.000215223 0 -0.000215223 
0.999803 -0.0135351 -0.0138201 0 -0.0132531 -0.999696 0.0202997 0 -0.014091 -0.0201129 -0.999698 0 0.309323 -0.00357105 0.483319 1 -0.0297843 -0.00136598 -0.00438275 8.13488e-05 -0.00678506 9.5639e-05 0.00312646 -7.96338e-05 0.0149265 0.000252358 0.00125696 -2.87767e-05 0.309328 -0.003573 0.483326 1.51705e-06 0 -1.51705e-06 0.000233088 0 -0.000233088 
0.999803 -0.0135466 -0.0138286 0 -0.0132645 -0.999696 0.0202921 0 -0.0140995 -0.0201051 -0.999698 0 0.309324 -0.00357332 0.483317 1 -0.0288798 0.00331133 -0.00512979 -0.000780812 -0.006549 0.00013818 0.00151693 -3.86575e-05 0.00724239 0.000122442 0.000609862 -1.39584e-05 0.309328 -0.003573 0.483326 1.75906e-06 0 -1.75906e-06 0.000250943 0 -0.000250943 
0.999803 -0.0135431 -0.0138307 0 -0.013261 -0.999696 0.0202932 0 -0.0141016 -0.0201061 -0.999698 0 0.309323 -0.00357172 0.483317 1 -0.021816 0.000641576 -0.00347478 -0.000246842 -0.00495911 9.08754e-05 0.00175222 -4.46453e-05 0.00836572 0.000141431 0.000704454 -1.61244e-05 0.309328 -0.003573 0.483326 2.01893e-06 0 -2.01893e-06 0.000268786 0 -0.000268786 
0.999803 -0.0135403 -0.013838 0 -0.0132581 -0.999697 0.0202908 0 -0.0141088 -0.0201037 -0.999698 0 0.309321 -0.00357174 0.483313 1 -0.0239317 0.00129927 -0.00182778 -0.000355293 -0.00538642 9.16697e-05 0.00487572 -0.000124243 0.023279 0.000393551 0.00196021 -4.48658e-05 0.309328 -0.003573 0.483326 2.29663e-06 0 -2.29663e-06 0.000286619 0 -0.000286619 
0.999803 -0.0135365 -0.0138299 0 -0.0132544 -0.999697 0.0202907 0 -0.0141007 -0.0201038 -0.999698 0 0.309323 -0.00357234 0.483316 1 -0.0141783 0.00111988 -0.00204056 -0.000276617 -0.00321354 4.76692e-05 0.00131455 -3.34979e-05 0.00627614 0.000106103 0.000528496 -1.20955e-05 0.309328 -0.003573 0.483326 2.59216e-06 0 -2.59216e-06 0.000304441 0 -0.000304441 
0.999803 -0.0135404 -0.0138306 0 -0.0132581 -0.999696 0.0202966 0 -0.0141015 -0.0201096 -0.999698 0 0.309322 -0.00357198 0.483316 1 -0.0108759 -0.00129315 -0.00113194 0.000177454 -0.00246922 3.46545e-05 0.00163644 -4.16917e-05 0.0078129 0.00013209 0.000657905 -1.50613e-05 0.309328 -0.003573 0.483326 2.90551e-06 0 -2.90551e-06 0.000322252 0 -0.000322252 
0.999803 -0.0135476 -0.0138361 0 -0.0132652 -0.999696 0.0202988 0 -0.0141072 -0.0201116 -0.999698 0 0.309323 -0.00357258 0.483313 1 -0.0183404 -0.000383888 0.000550123 2.73159e-05 -0.00394687 8.29166e-05 0.00536798 -0.000136756 0.0256297 0.000433319 0.00215813 -4.94127e-05 0.309328 -0.003573 0.483326 3.23667e-06 0 -3.23667e-06 0.000340053 0 -0.000340053 
0.999803 -0.013541 -0.0138319 0 -0.0132589 -0.999697 0.020293 0 -0.0141028 -0.020106 -0.999698 0 0.309322 -0.00357388 0.483315 1 -0.00263897 0.00195604 0.000315823 -0.000347443 -0.000576563 1.21089e-05 0.00100517 -2.5618e-05 0.00479909 8.11365e-05 0.000404113 -9.24993e-06 0.309328 -0.003573 0.483326 3.58561e-06 0 -3.58561e-06 0.000357843 0 -0.000357843 
