O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z pos_rx pos_ry pos_rz vel_x vel_y vel_z vel_rx vel_ry vel_rz bodyRPY_des_R bodyRPY_des_P bodyRPY_des_Y bodyRPY_R bodyRPY_P bodyRPY_Y 
0.99999 -0.000174901 1.551e-05 0 -0.000174906 -0.99999 0.000289012 0 1.54596e-05 -0.000289017 -1 0 0.306865 -5.11186e-05 0.486906 1 -0.0398442 0.0401866 0.0786606 -0.00609377 -0.0053165 7.43061e-05 -0.0457532 0.0395772 0.0775234 -0.00599581 0.00663257 -5.90585e-05 0.00246557 -7.77608e-05 0.0110107 0.000147773 0.000989671 -2.83523e-07 0.306849 -6.31151e-05 0.486916 0 0 0 0 0 0 0.306865 -5.11186e-05 0.486906 2.17256e-05 0.306849 -6.31151e-05 -0.000112242 -0.000444229 -0.000672296 0.000120029 0.00102121 -0.00152499 3.14132 5.06493e-05 0.000216187 3.1413 1.54597e-05 0.000174908 
0.99999 -0.000169382 1.59996e-05 0 -0.000169387 -0.99999 0.000287027 0 1.59511e-05 -0.000287032 -1 0 0.306865 -5.05023e-05 0.486907 1 -0.0259199 -0.00556435 0.00901681 0.000790165 -0.00536909 -8.48957e-05 -0.031573 -0.00606942 0.00781544 0.000868437 0.00663703 0.000101167 0.000277261 -8.74458e-06 0.00123817 1.66169e-05 0.000111291 -3.16542e-08 0.306849 -6.31151e-05 0.486916 8.9982e-09 0 -8.9982e-09 1.79946e-05 0 -1.79946e-05 0.306865 -5.05023e-05 0.486907 2.17256e-05 0.306849 -6.31151e-05 -0.000113074 0.000102846 -7.58663e-05 0.000758156 0.000499187 0.00134434 3.14132 5.06493e-05 0.000216187 3.14131 1.59513e-05 0.000169388 
0.99999 -0.000169488 1.66332e-05 0 -0.000169493 -0.99999 0.000286978 0 1.65847e-05 -0.000286983 -1 0 0.306864 -4.85064e-05 0.486906 1 -0.0433159 -0.0435908 0.142814 0.0123227 -0.00295455 -0.000663598 -0.048684 -0.0440967 0.141563 0.0124007 0.00416611 0.000679307 0.00417085 -0.000131527 0.0186259 0.000249962 0.00167416 -4.75938e-07 0.306849 -6.31151e-05 0.486916 3.59856e-08 0 -3.59856e-08 3.59784e-05 0 -3.59784e-05 0.306864 -4.85064e-05 0.486906 2.17256e-05 0.306849 -6.31151e-05 -0.000230692 -0.00118169 -0.00113716 -0.00888305 0.00202941 0.00210667 3.14132 5.06493e-05 0.000216187 3.14131 1.65849e-05 0.000169494 
0.99999 -0.000177994 1.12632e-05 0 -0.000177998 -0.99999 0.000286422 0 1.12123e-05 -0.000286427 -1 0 0.306863 -5.13974e-05 0.486905 1 0.0175435 0.0640712 0.163242 -0.00798706 0.0099668 0.000459006 0.0114426 0.063607 0.161734 -0.00792314 -0.00858439 -0.000448833 0.00478371 -0.000150889 0.0213628 0.000286704 0.00192014 -5.46314e-07 0.306849 -6.31151e-05 0.486916 8.09514e-08 0 -8.09514e-08 5.39514e-05 0 -5.39514e-05 0.306863 -5.13974e-05 0.486905 2.17256e-05 0.306849 -6.31151e-05 -0.000430252 -0.00144665 -0.00130425 -0.00438837 0.00191148 -0.0104675 3.14132 5.06493e-05 0.000216187 3.14131 1.12124e-05 0.000177999 
0.99999 -0.00016462 1.0243e-05 0 -0.000164623 -0.99999 0.000286136 0 1.0196e-05 -0.000286141 -1 0 0.306863 -4.8724e-05 0.486904 1 0.0190354 -0.310538 0.0394437 0.0555046 0.00763163 -0.000343414 0.0129407 -0.310985 0.0378287 0.0555657 -0.006242 0.00035794 0.000328463 -1.03583e-05 0.00146685 1.96852e-05 0.000131843 -3.74936e-08 0.306849 -6.31151e-05 0.486916 1.43885e-07 0 -1.43885e-07 7.19136e-05 0 -7.19136e-05 0.306863 -4.8724e-05 0.486904 2.17256e-05 0.306849 -6.31151e-05 0.000196719 0.00195853 -9.00724e-05 -0.00549471 -0.00156221 0.00174241 3.14132 5.06493e-05 0.000216187 3.14131 1.01961e-05 0.000164624 
0.99999 -0.000172504 1.95877e-05 0 -0.000172509 -0.99999 0.000287905 0 1.95383e-05 -0.000287911 -1 0 0.306863 -4.99553e-05 0.486907 1 0.173304 -0.197401 -0.132988 0.033501 0.0338552 0.00035725 0.168971 -0.19797 -0.134346 0.0335902 -0.0328532 -0.000352387 -0.00587326 0.00018522 -0.0262279 -0.00035199 -0.00235749 6.7136e-07 0.306849 -6.31151e-05 0.486916 2.24775e-07 0 -2.24775e-07 8.9865e-05 0 -8.9865e-05 0.306863 -4.99553e-05 0.486907 2.17256e-05 0.306849 -6.31151e-05 0.000296132 0.00124359 0.00160147 -0.00323239 -0.00575965 -0.00508662 3.14132 5.06493e-05 0.000216187 3.1413 1.95384e-05 0.000172511 
0.99999 -0.000170172 4.07257e-06 0 -0.000170173 -0.99999 0.000290892 0 4.02311e-06 -0.000290896 -1 0 0.306863 -4.97049e-05 0.486902 1 -0.127017 -0.177822 0.0371776 0.0311576 -0.0240354 8.75862e-05 -0.133787 -0.178515 0.0352345 0.0312587 0.0255875 -6.43379e-05 0.00126699 -3.99499e-05 0.00565821 7.59367e-05 0.00050856 -1.47502e-07 0.306849 -6.31151e-05 0.486916 3.23611e-07 0 -3.23611e-07 0.000107806 0 -0.000107806 0.306863 -4.97049e-05 0.486902 2.17256e-05 0.306849 -6.31151e-05 0.000228038 0.00128373 -0.000345957 -0.00207948 0.000946856 -0.00274452 3.14132 5.06493e-05 0.000216187 3.1413 4.02315e-06 0.000170175 
0.99999 -0.000174687 6.63259e-06 0 -0.000174689 -0.99999 0.000298977 0 6.58042e-06 -0.000298981 -1 0 0.306863 -5.28144e-05 0.486903 1 -0.0919361 -0.0908312 0.0484219 0.0186872 -0.0161224 -0.0001355 -0.0980721 -0.0919692 0.0465369 0.0188741 0.0175354 0.000156597 0.00131066 -4.13265e-05 0.00585316 7.85626e-05 0.000526089 -1.56638e-07 0.306849 -6.31151e-05 0.486916 4.40383e-07 0 -4.40383e-07 0.000125736 0 -0.000125736 0.306863 -5.28144e-05 0.486903 2.17256e-05 0.306849 -6.31151e-05 4.77655e-05 -0.000570568 -0.000357946 -0.00812884 0.00120513 -0.00417 3.14132 5.06493e-05 0.000216187 3.14129 6.58049e-06 0.000174691 
0.99999 -0.00017298 7.1074e-06 0 -0.000172982 -0.99999 0.000305118 0 7.05469e-06 -0.000305122 -1 0 0.306862 -5.22559e-05 0.486903 1 0.164986 0.0566811 0.120685 -0.00580195 0.0381694 0.000159732 0.159126 0.0552081 0.118777 -0.00555097 -0.0368138 -0.000153989 0.00275859 -8.6958e-05 0.0123193 0.000165359 0.00110728 -3.36398e-07 0.306849 -6.31151e-05 0.486916 5.75079e-07 0 -5.75079e-07 0.000143655 0 -0.000143655 0.306862 -5.22559e-05 0.486903 2.17256e-05 0.306849 -6.31151e-05 -0.000927878 -0.00197928 -0.000752782 -0.0078251 0.00145743 -0.00892389 3.14132 5.06493e-05 0.000216187 3.14129 7.05475e-06 0.000172983 
0.99999 -0.000164639 5.1177e-06 0 -0.000164641 -0.99999 0.000305492 0 5.06745e-06 -0.000305496 -1 0 0.306862 -5.16739e-05 0.486901 1 0.0179258 0.0197004 0.241258 0.00111622 0.0117885 -0.000149554 0.0119087 0.0182107 0.239214 0.00136938 -0.0103899 0.000165468 0.00735677 -0.000231888 0.0328544 0.000440992 0.00295296 -8.99093e-07 0.306849 -6.31151e-05 0.486916 7.27688e-07 0 -7.27688e-07 0.000161563 0 -0.000161563 0.306862 -5.16739e-05 0.486901 2.17256e-05 0.306849 -6.31151e-05 -0.000800168 -0.00126184 -0.00200623 -0.00576576 0.00412373 -0.00397364 3.14132 5.06493e-05 0.000216187 3.14129 5.0675e-06 0.000164642 
