O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z pos_rx pos_ry pos_rz vel_x vel_y vel_z vel_rx vel_ry vel_rz bodyRPY_des_R bodyRPY_des_P bodyRPY_des_Y bodyRPY_R bodyRPY_P bodyRPY_Y 
0.707131 0.707069 -0.00035406 0 0.707069 -0.707131 -4.56848e-05 0 -0.000282675 -0.000218044 -1 0 0.306906 -5.10211e-06 0.486834 1 0.0184296 -0.0494652 -0.0255049 0.00825586 0.00282784 -1.32612e-05 0.0186582 -0.0494765 -0.025458 0.00825875 -0.00287898 1.04462e-05 -0.00151939 4.77904e-05 -0.00679358 -9.02e-05 -0.000610746 1.58182e-07 0.306905 -5.57049e-06 0.486831 0 0 0 0 0 0 0.306906 -5.10211e-06 0.486834 -0.000355141 0.306905 -5.57049e-06 -5.26469e-05 0.000693697 0.000414892 -0.00105799 -0.000687634 -0.000234267 3.14138 -0.000290772 -0.785353 3.14137 -0.000282677 -0.785354 
0.707131 0.707069 -0.000353598 0 0.707069 -0.707131 -4.65258e-05 0 -0.000282943 -0.000217123 -1 0 0.306906 -5.52662e-06 0.486833 1 0.00671031 -0.0100871 0.00474267 0.00177416 0.00168914 1.0998e-05 0.00710913 -0.0100919 0.00471639 0.00177492 -0.00177081 -1.17425e-05 0.00019042 -5.98975e-06 0.000851424 1.13045e-05 7.65429e-05 -1.97571e-08 0.306905 -5.57049e-06 0.486831 8.9982e-09 0 -8.9982e-09 1.79946e-05 0 -1.79946e-05 0.306906 -5.52662e-06 0.486833 -0.000355141 0.306905 -5.57049e-06 1.49852e-05 0.00016011 -5.2005e-05 -4.91673e-05 -0.000369061 -0.000439399 3.14138 -0.000290772 -0.785353 3.14138 -0.000282945 -0.785354 
0.707129 0.707071 -0.000358472 0 0.707071 -0.707129 -4.78282e-05 0 -0.00028731 -0.000219649 -1 0 0.306905 -7.44768e-06 0.486832 1 0.0108825 0.0240724 0.0502929 -0.00353093 0.0039984 -9.10633e-06 0.0113376 0.0240449 0.0501731 -0.00352697 -0.00408536 9.51628e-06 0.00275589 -8.66962e-05 0.0123225 0.000163618 0.00110778 -2.89443e-07 0.306905 -5.57049e-06 0.486831 3.59856e-08 0 -3.59856e-08 3.59784e-05 0 -3.59784e-05 0.306905 -7.44768e-06 0.486832 -0.000355141 0.306905 -5.57049e-06 -0.000184666 -0.000363098 -0.000752414 0.000306919 0.00127534 0.000588592 3.14138 -0.000290772 -0.785353 3.14137 -0.000287312 -0.785357 
0.707128 0.707072 -0.000359335 0 0.707072 -0.707128 -5.52764e-05 0 -0.000293186 -0.000214993 -1 0 0.306905 -5.18613e-06 0.48683 1 0.0379971 -0.0193653 0.0624621 0.00376932 0.0102615 -7.68867e-06 0.0384623 -0.0193502 0.062234 0.00376382 -0.010343 4.55347e-06 0.00316571 -9.95783e-05 0.0141552 0.000187935 0.00127251 -3.27665e-07 0.306905 -5.57049e-06 0.486831 8.09514e-08 0 -8.09514e-08 5.39514e-05 0 -5.39514e-05 0.306905 -5.18613e-06 0.48683 -0.000355141 0.306905 -5.57049e-06 -0.000217022 0.000568674 -0.000864359 0.00215132 0.000443794 0.00202711 3.14138 -0.000290772 -0.785353 3.14138 -0.000293189 -0.785359 
0.707126 0.707073 -0.000361082 0 0.707073 -0.707126 -5.75583e-05 0 -0.000296034 -0.000214614 -1 0 0.306904 -6.05036e-06 0.486829 1 -0.0245234 0.0129008 0.141246 -0.000904156 0.000157214 8.43819e-06 -0.0239607 0.0129187 0.140931 -0.000911245 -0.000253055 -7.99211e-06 0.00803301 -0.000252706 0.0359192 0.000476897 0.003229 -8.31586e-07 0.306905 -5.57049e-06 0.486831 1.43885e-07 0 -1.43885e-07 7.19136e-05 0 -7.19136e-05 0.306904 -6.05036e-06 0.486829 -0.000355141 0.306905 -5.57049e-06 -0.000183764 0.000116193 -0.00219287 0.00275723 0.0039049 0.00260581 3.14138 -0.000290772 -0.785353 3.14138 -0.000296037 -0.785361 
0.707127 0.707073 -0.000354074 0 0.707073 -0.707127 -5.415e-05 0 -0.000288669 -0.000212069 -1 0 0.306904 -8.5678e-06 0.48683 1 0.0747561 0.0667565 0.106288 -0.0104673 0.0194331 7.85432e-06 0.0757028 0.0667924 0.105942 -0.0104781 -0.0196071 -8.78474e-06 0.00532254 -0.000167481 0.0237991 0.000315983 0.00213949 -5.43254e-07 0.306905 -5.57049e-06 0.486831 2.24775e-07 0 -2.24775e-07 8.9865e-05 0 -8.9865e-05 0.306904 -8.5678e-06 0.48683 -0.000355141 0.306905 -5.57049e-06 -0.000423771 -0.00075336 -0.00145321 0.00308536 0.000549594 0.00155408 3.14138 -0.000290772 -0.785353 3.14138 -0.000288672 -0.78536 
0.707129 0.707071 -0.00036233 0 0.707071 -0.707129 -5.38147e-05 0 -0.000294271 -0.000218143 -1 0 0.306905 -5.63591e-06 0.486829 1 0.0429542 -0.0281781 0.0443826 0.00530992 0.0106545 -2.91704e-06 0.0439238 -0.0281965 0.0439389 0.0053081 -0.0108266 -7.74276e-07 0.00204651 -6.43689e-05 0.00915095 0.000121498 0.000822635 -2.14543e-07 0.306905 -5.57049e-06 0.486831 3.23611e-07 0 -3.23611e-07 0.000107806 0 -0.000107806 0.306905 -5.63591e-06 0.486829 -0.000355141 0.306905 -5.57049e-06 -0.000194261 0.000477837 -0.000559089 0.000165063 -0.000130116 0.000248662 3.14138 -0.000290772 -0.785353 3.14137 -0.000294274 -0.785357 
0.707125 0.707075 -0.000367704 0 0.707075 -0.707125 -5.86285e-05 0 -0.000301473 -0.000218541 -1 0 0.306904 -7.14016e-06 0.486826 1 0.116741 -0.00787437 0.109275 0.0027787 0.0276508 -9.23968e-05 0.117686 -0.00789499 0.10872 0.00277602 -0.0278099 8.59025e-05 0.00522462 -0.000164352 0.0233623 0.000310195 0.00210013 -5.50769e-07 0.306905 -5.57049e-06 0.486831 4.40383e-07 0 -4.40383e-07 0.000125736 0 -0.000125736 0.306904 -7.14016e-06 0.486826 -0.000355141 0.306905 -5.57049e-06 -0.000867918 4.94236e-05 -0.00142679 -0.000479506 0.00188607 0.00279083 3.14138 -0.000290772 -0.785353 3.14137 -0.000301476 -0.785363 
0.707132 0.707068 -0.000367157 0 0.707068 -0.707132 -5.62216e-05 0 -0.000299387 -0.000219853 -1 0 0.306904 -7.15367e-06 0.486827 1 0.0703196 0.00372724 0.0850667 0.000394616 0.0174126 5.24956e-05 0.0715008 0.00369192 0.0844541 0.000393757 -0.0176172 -5.63945e-05 0.00416465 -0.000130999 0.0186225 0.000247263 0.00167406 -4.40709e-07 0.306905 -5.57049e-06 0.486831 5.75079e-07 0 -5.75079e-07 0.000143655 0 -0.000143655 0.306904 -7.15367e-06 0.486827 -0.000355141 0.306905 -5.57049e-06 -0.000533264 -0.000125529 -0.00113759 -0.000408646 0.00138671 -0.00206549 3.14138 -0.000290772 -0.785353 3.14137 -0.000299389 -0.785352 
0.70713 0.70707 -0.000368799 0 0.70707 -0.70713 -5.48664e-05 0 -0.000299589 -0.000221973 -1 0 0.306905 -6.95223e-06 0.486826 1 0.0533195 -0.00284841 0.0960807 0.00169956 0.0141633 3.80978e-05 0.0546734 -0.00290455 0.0953983 0.00170189 -0.0143992 -4.15372e-05 0.00494134 -0.000155426 0.0220958 0.000293388 0.00198627 -5.27167e-07 0.306905 -5.57049e-06 0.486831 7.27688e-07 0 -7.27688e-07 0.000161563 0 -0.000161563 0.306905 -6.95223e-06 0.486826 -0.000355141 0.306905 -5.57049e-06 -0.00056578 -6.79401e-05 -0.00134977 -0.00086304 0.00251009 -0.00162161 3.14138 -0.000290772 -0.785353 3.14137 -0.000299592 -0.785355 
0.707128 0.707072 -0.000372684 0 0.707072 -0.707128 -6.25308e-05 0 -0.000307755 -0.000219301 -1 0 0.306905 -7.50335e-06 0.486824 1 0.00385519 0.0172653 0.144202 -0.00131 0.00569599 1.39669e-05 0.00515493 0.0172349 0.1434 -0.00131405 -0.00591223 -1.46192e-05 0.00799696 -0.000251565 0.0357603 0.000474816 0.00321453 -8.48434e-07 0.306905 -5.57049e-06 0.486831 8.98201e-07 0 -8.98201e-07 0.00017946 0 -0.00017946 0.306905 -7.50335e-06 0.486824 -0.000355141 0.306905 -5.57049e-06 -0.000490666 -0.000246106 -0.00218395 0.000354607 0.00474111 0.000599961 3.14138 -0.000290772 -0.785353 3.14137 -0.000307758 -0.785358 
0.70713 0.70707 -0.000378266 0 0.70707 -0.70713 -6.20975e-05 0 -0.000311397 -0.000223554 -1 0 0.306904 -8.37284e-06 0.486823 1 0.0535741 0.0128537 0.146327 -0.000477357 0.0157744 2.68011e-05 0.0549505 0.0127847 0.145438 -0.000475271 -0.0160006 -3.00024e-05 0.00779327 -0.000245134 0.0348497 0.000462746 0.00313264 -8.41793e-07 0.306905 -5.57049e-06 0.486831 1.08661e-06 0 -1.08661e-06 0.000197347 0 -0.000197347 0.306904 -8.37284e-06 0.486823 -0.000355141 0.306905 -5.57049e-06 -0.000788027 -0.000235489 -0.00212858 -0.000103067 0.00458107 -0.000346083 3.14138 -0.000290772 -0.785353 3.14137 -0.0003114 -0.785355 
0.707126 0.707073 -0.000374419 0 0.707073 -0.707127 -6.34563e-05 0 -0.000309636 -0.000219875 -1 0 0.306905 -9.33163e-06 0.486824 1 0.0329696 0.0353419 0.0736745 -0.00533512 0.00898205 -8.14963e-06 0.0345709 0.0353035 0.0727217 -0.00533944 -0.0092509 8.12677e-06 0.00395195 -0.000124322 0.017672 0.000234648 0.00158855 -4.20627e-07 0.306905 -5.57049e-06 0.486831 1.29289e-06 0 -1.29289e-06 0.000215223 0 -0.000215223 0.306905 -9.33163e-06 0.486824 -0.000355141 0.306905 -5.57049e-06 -0.000488407 -0.000403781 -0.0010803 0.00151763 0.00262497 0.00162917 3.14138 -0.000290772 -0.785353 3.14137 -0.000309639 -0.785361 
0.707125 0.707075 -0.00037727 0 0.707075 -0.707125 -6.32439e-05 0 -0.000311501 -0.000222041 -1 0 0.306904 -8.24406e-06 0.486826 1 0.065298 0.00872653 -0.00736868 -0.00171674 0.0124118 0.000117861 0.0670247 0.00866758 -0.00840065 -0.0017181 -0.0127013 -0.000119672 -0.000694281 2.18388e-05 -0.00310456 -4.12229e-05 -0.000279074 7.45747e-08 0.306905 -5.57049e-06 0.486831 1.51705e-06 0 -1.51705e-06 0.000233088 0 -0.000233088 0.306904 -8.24406e-06 0.486826 -0.000355141 0.306905 -5.57049e-06 -0.000543113 -0.000100321 0.000188062 0.000408226 0.00072802 -0.00378121 3.14138 -0.000290772 -0.785353 3.14137 -0.000311504 -0.785362 
