O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z pos_rx pos_ry pos_rz vel_x vel_y vel_z vel_rx vel_ry vel_rz bodyRPY_des_R bodyRPY_des_P bodyRPY_des_Y bodyRPY_R bodyRPY_P bodyRPY_Y 
0.99999 -8.65985e-05 -6.60505e-05 0 -8.65798e-05 -0.99999 0.000282802 0 -6.60756e-05 -0.000282799 -1 0 0.306977 -2.34477e-05 0.48684 1 -0.0192585 -0.0368898 0.0136997 0.00682219 -0.00274226 -2.85748e-05 -0.02728 -0.0362924 0.0120397 0.00667216 0.00453724 2.94278e-05 0.000387461 -1.22074e-05 0.00173301 2.32457e-05 0.000155609 -4.54775e-08 0.306986 -1.7535e-05 0.486857 0 0 0 0 0 0 0.306977 -2.34477e-05 0.48684 0 0.306986 -1.7535e-05 0.000330688 0.000360569 -0.000106449 -0.00118964 -0.000694629 3.36463e-05 3.1413 4.8406e-06 7.44637e-05 3.14131 -6.60762e-05 8.65807e-05 
0.99999 -8.66145e-05 -6.29135e-05 0 -8.65971e-05 -0.99999 0.000275947 0 -6.2938e-05 -0.000275944 -1 0 0.306976 -2.37467e-05 0.486841 1 0.0912014 0.012033 -0.00989386 -0.00218087 0.0185796 3.91747e-05 0.0835201 0.0128721 -0.0115057 -0.00237577 -0.016858 -4.44794e-05 -0.00149244 4.7029e-05 -0.0066751 -8.95305e-05 -0.000599376 1.70789e-07 0.306986 -1.7535e-05 0.486857 8.9982e-09 0 -8.9982e-09 1.79946e-05 0 -1.79946e-05 0.306976 -2.37467e-05 0.486841 0 0.306986 -1.7535e-05 -0.000200632 -7.78361e-05 0.000407658 0.000453274 -0.00151422 1.72087e-05 3.1413 4.8406e-06 7.44637e-05 3.14132 -6.29386e-05 8.65979e-05 
0.99999 -9.40836e-05 -6.58222e-05 0 -9.40656e-05 -0.99999 0.000273281 0 -6.58485e-05 -0.000273278 -1 0 0.306976 -2.4375e-05 0.486841 1 -0.377484 0.0413216 0.020412 -0.00797484 -0.077848 0.000162982 -0.385499 0.0422615 0.0187248 -0.00819127 0.0796447 -0.000142718 0.0041821 -0.0001318 0.0187051 0.00025088 0.00167957 -4.74828e-07 0.306986 -1.7535e-05 0.486857 3.59856e-08 0 -3.59856e-08 3.59784e-05 0 -3.59784e-05 0.306976 -2.4375e-05 0.486841 0 0.306986 -1.7535e-05 0.00112265 -0.000110028 -0.00114221 0.00190994 0.00480997 -0.00247836 3.1413 4.8406e-06 7.44637e-05 3.14132 -6.58492e-05 9.40665e-05 
0.99999 -8.13078e-05 -6.56888e-05 0 -8.12897e-05 -0.99999 0.000275753 0 -6.57118e-05 -0.000275751 -1 0 0.306976 -2.25169e-05 0.48684 1 -0.134126 -0.0204188 0.0327664 0.00323447 -0.0270716 -0.00017718 -0.14212 -0.0195679 0.0310907 0.00303652 0.0288633 0.000185026 0.00287267 -9.05173e-05 0.0128485 0.000172329 0.00115369 -3.28986e-07 0.306986 -1.7535e-05 0.486857 8.09514e-08 0 -8.09514e-08 5.39514e-05 0 -5.39514e-05 0.306976 -2.25169e-05 0.48684 0 0.306986 -1.7535e-05 0.000297809 0.00082054 -0.00078475 0.00175414 0.00219566 0.00366576 3.1413 4.8406e-06 7.44637e-05 3.14132 -6.57125e-05 8.12905e-05 
0.99999 -8.74963e-05 -6.58453e-05 0 -8.74781e-05 -0.99999 0.000275576 0 -6.587e-05 -0.000275572 -1 0 0.306976 -2.36686e-05 0.48684 1 -0.241032 0.00929386 0.0689741 -0.00097773 -0.0485549 -0.000175596 -0.249044 0.0101513 0.0672942 -0.00117766 0.0503505 0.000188708 0.00591037 -0.000186246 0.0264351 0.000354562 0.00237366 -6.76503e-07 0.306986 -1.7535e-05 0.486857 1.43885e-07 0 -1.43885e-07 7.19136e-05 0 -7.19136e-05 0.306976 -2.36686e-05 0.48684 0 0.306986 -1.7535e-05 0.000160178 -0.00028866 -0.00161416 -0.000918381 0.00533614 0.000734347 3.1413 4.8406e-06 7.44637e-05 3.14132 -6.58706e-05 8.7479e-05 
0.99999 -9.59712e-05 -6.61424e-05 0 -9.59531e-05 -0.99999 0.000273646 0 -6.61693e-05 -0.000273642 -1 0 0.306975 -2.38752e-05 0.486841 1 -0.153646 0.041978 -0.00391179 -0.00753268 -0.0305254 0.000179736 -0.161696 0.0429053 -0.00560505 -0.00774705 0.0323297 -0.000172648 0.000335907 -1.05866e-05 0.00150239 2.01509e-05 0.000134903 -3.81936e-08 0.306986 -1.7535e-05 0.486857 2.24775e-07 0 -2.24775e-07 8.9865e-05 0 -8.9865e-05 0.306975 -2.38752e-05 0.486841 0 0.306986 -1.7535e-05 0.00121069 -0.000395263 -9.25848e-05 0.000995819 -0.000816017 -0.00164599 3.1413 4.8406e-06 7.44637e-05 3.14132 -6.617e-05 9.5954e-05 
0.99999 -9.16449e-05 -6.41216e-05 0 -9.16271e-05 -0.99999 0.000277588 0 -6.41476e-05 -0.000277585 -1 0 0.306976 -2.62109e-05 0.48684 1 -0.24619 0.0562978 0.0503215 -0.00965002 -0.0482587 4.90013e-05 -0.254005 0.0570797 0.0486877 -0.00983506 0.0500091 -3.58215e-05 0.00426442 -0.000134406 0.0190734 0.000255841 0.00171264 -4.91119e-07 0.306986 -1.7535e-05 0.486857 3.23611e-07 0 -3.23611e-07 0.000107806 0 -0.000107806 0.306976 -2.62109e-05 0.48684 0 0.306986 -1.7535e-05 0.00120569 -0.000454994 -0.00116499 0.00163811 0.00162164 0.000210945 3.1413 4.8406e-06 7.44637e-05 3.14132 -6.41482e-05 9.1628e-05 
0.99999 -9.8534e-05 -6.25313e-05 0 -9.85163e-05 -0.99999 0.000282206 0 -6.25597e-05 -0.000282202 -1 0 0.306977 -2.66339e-05 0.486838 1 -0.0231578 0.0344684 -0.0827731 -0.00626983 -0.00255288 0.000402687 -0.0307848 0.0350811 -0.084355 -0.00642234 0.00425937 -0.000403052 -0.00649225 0.000204597 -0.0290383 -0.000389521 -0.00260739 7.5912e-07 0.306986 -1.7535e-05 0.486857 4.40383e-07 0 -4.40383e-07 0.000125736 0 -0.000125736 0.306977 -2.66339e-05 0.486838 0 0.306986 -1.7535e-05 0.0025522 -0.000492152 0.00177314 0.000193114 -0.00901622 -0.00290902 3.1413 4.8406e-06 7.44637e-05 3.14131 -6.25603e-05 9.85173e-05 
0.99999 -9.0195e-05 -6.49644e-05 0 -9.01763e-05 -0.99999 0.00028756 0 -6.4991e-05 -0.000287557 -1 0 0.306978 -2.22541e-05 0.486837 1 -0.149935 -0.0853302 -0.0081269 0.0155393 -0.0252825 5.39902e-05 -0.157825 -0.0849062 -0.00974595 0.0154227 0.0270461 -4.7318e-05 -0.00171642 5.40654e-05 -0.00767724 -0.000102981 -0.000689342 2.04631e-07 0.306986 -1.7535e-05 0.486857 5.75079e-07 0 -5.75079e-07 0.000143655 0 -0.000143655 0.306978 -2.22541e-05 0.486837 0 0.306986 -1.7535e-05 0.0030977 0.0010966 0.000468316 -0.00153437 -0.00753611 0.00166319 3.1413 4.8406e-06 7.44637e-05 3.14131 -6.49916e-05 9.01771e-05 
0.99999 -8.34141e-05 -6.78416e-05 0 -8.33945e-05 -0.99999 0.000289947 0 -6.78664e-05 -0.000289945 -1 0 0.30698 -2.38161e-05 0.486834 1 -0.430203 -0.0442811 0.11158 0.00945066 -0.0809836 -0.000205832 -0.438412 -0.0439381 0.109904 0.00934891 0.0828179 0.000230471 0.00782352 -0.000246439 0.0349948 0.000469429 0.00314209 -9.41555e-07 0.306986 -1.7535e-05 0.486857 7.27688e-07 0 -7.27688e-07 0.000161563 0 -0.000161563 0.30698 -2.38161e-05 0.486834 0 0.306986 -1.7535e-05 0.00289332 0.000401991 -0.00213721 -0.00184728 0.000258896 0.00328005 3.1413 4.8406e-06 7.44637e-05 3.1413 -6.78671e-05 8.33953e-05 
