O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z error_x error_y error_z error_rx error_ry error_rz vel_x vel_y vel_z bodyRPY_R bodyRPY_P bodyRPY_Y bodyRPY_des_R bodyRPY_des_P bodyRPY_des_Y F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz
0.99999 -7.54161e-05 -7.04996e-05 0 -7.53939e-05 -0.99999 0.000313903 0 -7.0524e-05 -0.000313901 -1 0 0.30699 -1.71657e-05 0.486843 1 -0.000577658 -0.0439678 -0.107676 0.00736554 -0.00171294 -9.60331e-05 -0.00699125 0.000219968 -0.0312724 -0.000419545 -0.00280785 9.09702e-07 0.306987 -1.33359e-05 0.486853 8.98201e-07 0 -8.98201e-07 0.00017946 0 -0.00017946 0.30699 -1.71657e-05 0.486843 2.60579e-06 -3.82986e-06 -9.25522e-06 -6.12394e-06 -7.33373e-07 -6.88182e-07 0.00116315 0.000177912 0.00190923 3.14128 -7.05246e-05 7.53947e-05 3.14129 -7.1991e-05 7.40178e-05 -0.000501931 -0.0441453 -0.107646 0.00739983 0.00169416 9.64257e-05 
0.99999 -7.9045e-05 -7.16091e-05 0 -7.90221e-05 -0.99999 0.000320381 0 -7.16351e-05 -0.000320378 -1 0 0.30699 -1.78364e-05 0.486842 1 0.0367032 -0.0204428 -0.0365835 0.00395118 0.00760022 -7.74589e-05 -0.00301068 9.47184e-05 -0.0134672 -0.000180689 -0.00120916 3.99775e-07 0.306987 -1.33359e-05 0.486853 1.08661e-06 0 -1.08661e-06 0.000197347 0 -0.000197347 0.30699 -1.78364e-05 0.486842 2.91218e-06 -4.50051e-06 -1.10773e-05 -9.36252e-06 -1.78377e-07 -2.50242e-06 0.000448447 -0.000167667 0.000821358 3.14127 -7.16358e-05 7.90228e-05 3.14129 -7.1991e-05 7.40178e-05 0.0367338 -0.0207129 -0.0365548 0.00400289 -0.00760998 7.51801e-05 
0.99999 -7.66711e-05 -7.45716e-05 0 -7.66469e-05 -0.99999 0.000323984 0 -7.45972e-05 -0.000323981 -1 0 0.30699 -1.73643e-05 0.48684 1 0.0206508 -0.0294539 0.000666307 0.00577383 0.00511263 -0.000123928 -0.000649705 2.04366e-05 -0.00290628 -3.89938e-05 -0.000260939 8.73248e-08 0.306987 -1.33359e-05 0.486853 1.29289e-06 0 -1.29289e-06 0.000215223 0 -0.000215223 0.30699 -1.73643e-05 0.48684 2.8901e-06 -4.0284e-06 -1.2507e-05 -1.11642e-05 1.30301e-06 -1.31531e-06 0.000198835 1.75703e-05 0.000176286 3.14127 -7.45979e-05 7.66477e-05 3.14129 -7.1991e-05 7.40178e-05 0.0205508 -0.0297739 0.000672954 0.00583464 -0.0050937 0.000122624 
0.99999 -7.28346e-05 -7.55007e-05 0 -7.28102e-05 -0.99999 0.000323633 0 -7.5525e-05 -0.00032363 -1 0 0.306991 -1.94432e-05 0.48684 1 0.0123187 0.00785335 -0.00144218 -0.0010402 0.00270588 -0.000139205 -0.000459492 1.44569e-05 -0.00205543 -2.75792e-05 -0.000184544 6.17196e-08 0.306987 -1.33359e-05 0.486853 1.51705e-06 0 -1.51705e-06 0.000233088 0 -0.000233088 0.306991 -1.94432e-05 0.48684 3.59977e-06 -6.10738e-06 -1.30908e-05 -1.09885e-05 1.76753e-06 6.02935e-07 4.30252e-05 -0.000253868 0.000124195 3.14127 -7.55257e-05 7.28109e-05 3.14129 -7.1991e-05 7.40178e-05 0.0121766 0.00753907 -0.00144446 -0.000980512 -0.00267742 0.000139424 
0.99999 -7.35323e-05 -8.63909e-05 0 -7.35043e-05 -0.99999 0.000323102 0 -8.64155e-05 -0.000323099 -1 0 0.306991 -1.90732e-05 0.486836 1 -0.0738772 -0.00495594 0.0535222 0.00139787 -0.0136232 -0.000123652 0.0034261 -0.000107786 0.0153265 0.000205641 0.00137601 -4.61672e-07 0.306987 -1.33359e-05 0.486853 1.75906e-06 0 -1.75906e-06 0.000250943 0 -0.000250943 0.306991 -1.90732e-05 0.486836 3.76471e-06 -5.73737e-06 -1.64429e-05 -1.07229e-05 7.2126e-06 2.54143e-07 3.46818e-06 9.25609e-05 -0.000937705 3.14127 -8.64163e-05 7.3505e-05 3.14129 -7.1991e-05 7.40178e-05 -0.0745108 -0.00525513 0.05342 0.00145254 0.0137615 0.00012911 
0.99999 -6.99527e-05 -8.00104e-05 0 -6.99268e-05 -0.99999 0.000323353 0 -8.00338e-05 -0.000323351 -1 0 0.30699 -1.79956e-05 0.486839 1 0.0783445 -0.0291593 -0.027002 0.00476008 0.0147993 -6.64614e-05 -0.0021512 6.76727e-05 -0.00962294 -0.000129113 -0.000863975 2.89282e-07 0.306987 -1.33359e-05 0.486853 2.01893e-06 0 -2.01893e-06 0.000268786 0 -0.000268786 0.30699 -1.79956e-05 0.486839 2.90442e-06 -4.65978e-06 -1.36205e-05 -1.08486e-05 4.02237e-06 2.04392e-06 -0.00039764 0.000464059 0.000585644 3.14127 -8.00346e-05 6.99275e-05 3.14129 -7.1991e-05 7.40178e-05 0.0779989 -0.0294665 -0.0270457 0.00481765 -0.0147253 6.25631e-05 
0.99999 -7.14014e-05 -7.4524e-05 0 -7.13777e-05 -0.99999 0.000318057 0 -7.45474e-05 -0.000318055 -1 0 0.306991 -1.92794e-05 0.48684 1 0.0424536 0.0183263 -0.0542212 -0.00411715 0.00698838 9.01491e-05 -0.00351269 0.00011053 -0.0157132 -0.000210821 -0.00141079 4.63767e-07 0.306987 -1.33359e-05 0.486853 2.29663e-06 0 -2.29663e-06 0.000286619 0 -0.000286619 0.306991 -1.92794e-05 0.48684 4.11662e-06 -5.94349e-06 -1.22389e-05 -8.20086e-06 1.27896e-06 1.31932e-06 0.000117552 0.000117715 0.000957327 3.14127 -7.45481e-05 7.13784e-05 3.14129 -7.1991e-05 7.40178e-05 0.0423513 0.0180917 -0.0542222 -0.0040725 -0.00696786 -9.12053e-05 
0.99999 -6.67887e-05 -8.00697e-05 0 -6.67626e-05 -0.99999 0.000325697 0 -8.00922e-05 -0.000325694 -1 0 0.306992 -1.65392e-05 0.486839 1 -0.00920118 -0.0541369 -0.0788003 0.0085051 -0.00410431 2.85803e-06 -0.00471526 0.00014831 -0.0210931 -0.000283011 -0.00189378 6.38538e-07 0.306987 -1.33359e-05 0.486853 2.59216e-06 0 -2.59216e-06 0.000304441 0 -0.000304441 0.306992 -1.65392e-05 0.486839 4.78254e-06 -3.20334e-06 -1.40674e-05 -1.20202e-05 4.05206e-06 3.626e-06 0.000467137 0.000851014 0.00128565 3.14127 -8.0093e-05 6.67633e-05 3.14129 -7.1991e-05 7.40178e-05 -0.00954747 -0.0544778 -0.0788414 0.00856926 0.00417825 -6.52832e-07 
0.99999 -7.55676e-05 -8.40585e-05 0 -7.55406e-05 -0.99999 0.000321311 0 -8.40836e-05 -0.000321308 -1 0 0.306992 -1.942e-05 0.486837 1 -0.00808678 0.0412658 -0.0283967 -0.00673212 -0.00236624 -3.85275e-05 -0.00189063 5.94868e-05 -0.00845759 -0.000113478 -0.000759327 2.53146e-07 0.306987 -1.33359e-05 0.486853 2.90551e-06 0 -2.90551e-06 0.000322252 0 -0.000322252 0.306992 -1.942e-05 0.486837 4.40085e-06 -6.08418e-06 -1.53933e-05 -9.82739e-06 6.04637e-06 -7.63623e-07 0.000159984 -0.00112947 0.000513601 3.14127 -8.40844e-05 7.55413e-05 3.14129 -7.1991e-05 7.40178e-05 -0.00861668 0.0409908 -0.0284801 -0.00668173 0.00248159 4.07913e-05 
0.99999 -7.8628e-05 -8.03921e-05 0 -7.86019e-05 -0.99999 0.00032463 0 -8.04184e-05 -0.000324627 -1 0 0.306991 -2.10337e-05 0.486837 1 0.0660516 0.0436448 -0.0257354 -0.00714097 0.0132918 4.30219e-05 -0.00239773 7.54446e-05 -0.010726 -0.000143922 -0.000962995 3.2372e-07 0.306987 -1.33359e-05 0.486853 3.23667e-06 0 -3.23667e-06 0.000340053 0 -0.000340053 0.306991 -2.10337e-05 0.486837 3.79754e-06 -7.69784e-06 -1.56951e-05 -1.14871e-05 4.21331e-06 -2.29371e-06 5.42642e-06 -0.0010866 0.000651796 3.14127 -8.04192e-05 7.86026e-05 3.14129 -7.1991e-05 7.40178e-05 0.0656895 0.0433195 -0.0257809 -0.00708033 -0.0132144 -4.59498e-05 
