O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z pos_rx pos_ry pos_rz vel_x vel_y vel_z vel_rx vel_ry vel_rz bodyRPY_des_R bodyRPY_des_P bodyRPY_des_Y bodyRPY_R bodyRPY_P bodyRPY_Y 
0.99999 5.75639e-05 -0.000197434 0 0.000180272 -0.707378 0.706822 0 -9.8975e-05 -0.706829 -0.707385 0 0.306959 -0.148808 0.548434 1 -0.018879 -0.00136367 0.00926797 0.00139899 -0.00215706 0.0022142 -0.0194289 -0.0017866 0.00960619 0.0014981 0.00320633 -4.0702e-05 0.000289063 8.09521e-05 0.00113139 0.000137696 6.9175e-05 -6.90403e-05 0.306962 -0.148807 0.548439 0 0 0 0 0 0 0.306959 -0.148808 0.548434 -0.000211219 0.306962 -0.148807 0.000291472 9.95225e-06 -7.4176e-05 -0.00039909 -0.0011721 -0.000132705 2.35662 -8.60658e-05 -0.000192339 2.35659 -9.89759e-05 -0.000180274 
0.99999 5.52393e-05 -0.00019244 0 0.000175098 -0.707378 0.706822 0 -9.70856e-05 -0.706828 -0.707385 0 0.306958 -0.148807 0.548436 1 0.084045 -0.0124323 -0.0388028 -0.00322256 0.0110569 -0.0109174 0.0837759 -0.012855 -0.0385112 -0.00312855 -0.0154785 -9.15358e-05 -0.00318172 -0.000891004 -0.0124529 -0.00151558 -0.000761406 0.000759919 0.306962 -0.148807 0.548439 8.9982e-09 0 -8.9982e-09 1.79946e-05 0 -1.79946e-05 0.306958 -0.148807 0.548436 -0.000211219 0.306962 -0.148807 -0.000385022 0.000126495 0.000815269 -0.000244109 -0.00234873 -0.000770606 2.35662 -8.60658e-05 -0.000192339 2.35659 -9.70865e-05 -0.000175099 
0.99999 6.6758e-05 -0.000201349 0 0.000189543 -0.707378 0.706822 0 -9.52459e-05 -0.706829 -0.707385 0 0.306961 -0.148805 0.548434 1 -0.0464542 -0.0628564 0.0599693 0.0150351 -0.00622118 0.00600572 -0.046441 -0.0632878 0.0602247 0.0151276 0.00864997 0.000149245 0.00331484 0.000928353 0.0129744 0.00157905 0.00079328 -0.000791727 0.306962 -0.148807 0.548439 3.59856e-08 0 -3.59856e-08 3.59784e-05 0 -3.59784e-05 0.306961 -0.148805 0.548434 -0.000211219 0.306962 -0.148807 0.000545996 0.00090079 -0.00084932 -0.00143085 0.00177696 0.00260759 2.35662 -8.60658e-05 -0.000192339 2.35659 -9.52468e-05 -0.000189545 
0.99999 5.91283e-05 -0.000205784 0 0.00018728 -0.707378 0.706822 0 -0.000103776 -0.706828 -0.707385 0 0.306958 -0.148809 0.548434 1 -0.0421391 0.0207417 -0.0207916 -0.00462155 -0.0062538 0.00610268 -0.0424263 0.0202826 -0.0206945 -0.00454878 0.00881404 0.000105666 -0.00238936 -0.000669122 -0.00935187 -0.00113817 -0.000571783 0.000570677 0.306962 -0.148807 0.548439 8.09514e-08 0 -8.09514e-08 5.39514e-05 0 -5.39514e-05 0.306958 -0.148809 0.548434 -0.000211219 0.306962 -0.148807 5.51625e-05 -0.000665101 0.000612152 -0.00270341 0.000832359 -0.000590965 2.35662 -8.60658e-05 -0.000192339 2.35659 -0.000103777 -0.000187282 
0.99999 5.81538e-05 -0.000193155 0 0.000177665 -0.707377 0.706822 0 -9.55312e-05 -0.706829 -0.707384 0 0.306959 -0.148807 0.548435 1 -0.139995 -0.0951384 0.00983933 0.0121983 -0.0180021 0.0183165 -0.139643 -0.0955922 0.00997278 0.0122785 0.0256226 -0.000232654 0.000242539 6.79222e-05 0.000949283 0.000115533 5.80417e-05 -5.79282e-05 0.306962 -0.148807 0.548439 1.43885e-07 0 -1.43885e-07 7.19136e-05 0 -7.19136e-05 0.306959 -0.148807 0.548435 -0.000211219 0.306962 -0.148807 0.00285497 0.00170129 -6.23512e-05 -0.000768072 -0.00786741 0.0055733 2.35662 -8.60658e-05 -0.000192339 2.35659 -9.55321e-05 -0.000177667 
0.99999 6.23372e-05 -0.000204533 0 0.000188666 -0.70738 0.70682 0 -0.000100623 -0.706826 -0.707387 0 0.306958 -0.148807 0.548431 1 -0.143194 -0.0879573 0.0572425 0.0164549 -0.0184783 0.018729 -0.142969 -0.0883878 0.0572032 0.0165081 0.0262862 -0.000187707 0.00550041 0.00154043 0.0215289 0.00262017 0.0013163 -0.00131373 0.306962 -0.148807 0.548439 2.24775e-07 0 -2.24775e-07 8.9865e-05 0 -8.9865e-05 0.306958 -0.148807 0.548431 -0.000211219 0.306962 -0.148807 0.00230412 0.00201092 -0.00140935 0.00330003 -0.00374528 0.00515251 2.35662 -8.60658e-05 -0.000192339 2.35659 -0.000100624 -0.000188667 
0.99999 5.90862e-05 -0.000203244 0 0.000185454 -0.707388 0.706812 0 -0.000102012 -0.706818 -0.707395 0 0.306958 -0.148807 0.548428 1 -0.0389397 0.0612576 0.0450366 -0.00313239 -0.00236351 0.00301924 -0.0386723 0.0609463 0.044759 -0.00312765 0.00378158 -0.00046395 0.00691135 0.00193554 0.0270516 0.00329227 0.00165397 -0.00165071 0.306962 -0.148807 0.548439 3.23611e-07 0 -3.23611e-07 0.000107806 0 -0.000107806 0.306958 -0.148807 0.548428 -0.000211219 0.306962 -0.148807 0.000840158 0.000244458 -0.00177083 0.00944092 -0.00432053 -0.000393715 2.35662 -8.60658e-05 -0.000192339 2.3566 -0.000102013 -0.000185456 
0.99999 7.22758e-05 -0.000214696 0 0.000202878 -0.707388 0.706812 0 -0.00010079 -0.706818 -0.707395 0 0.30696 -0.148805 0.548427 1 -0.00835477 -0.000979776 0.0282576 0.00301021 0.000365892 -0.00016516 -0.00784334 -0.00129377 0.0279279 0.00301044 -0.000446908 -0.000139851 0.00341527 0.000956491 0.0133679 0.00162691 0.000817324 -0.000815713 0.306962 -0.148807 0.548439 4.40383e-07 0 -4.40383e-07 0.000125736 0 -0.000125736 0.30696 -0.148805 0.548427 -0.000211219 0.306962 -0.148807 0.000719438 0.000632856 -0.00087553 0.00447743 -0.00149505 0.00300611 2.35662 -8.60658e-05 -0.000192339 2.3566 -0.000100791 -0.00020288 
0.99999 6.44449e-05 -0.000209794 0 0.000193873 -0.707398 0.706802 0 -0.00010286 -0.706808 -0.707405 0 0.30696 -0.148806 0.548426 1 0.0221883 0.0530358 0.0198042 -0.0041655 0.00533018 -0.00495437 0.0226873 0.0528744 0.0191856 -0.00422575 -0.00733269 -0.000261298 0.00252695 0.000707687 0.00989088 0.00120374 0.000604743 -0.000603537 0.306962 -0.148807 0.548439 5.75079e-07 0 -5.75079e-07 0.000143655 0 -0.000143655 0.30696 -0.148806 0.548426 -0.000211219 0.306962 -0.148807 0.000287845 -0.000257803 -0.000648127 0.00437138 -0.0032677 -0.000209927 2.35662 -8.60658e-05 -0.000192339 2.35662 -0.000102861 -0.000193875 
0.99999 6.64418e-05 -0.00021669 0 0.000200159 -0.707403 0.706797 0 -0.000106328 -0.706804 -0.70741 0 0.30696 -0.148805 0.548422 1 0.00342055 0.0286921 0.0115536 -0.00236582 0.00161933 -0.00139662 0.00387008 0.0285874 0.0107443 -0.0024597 -0.00217455 -0.000155109 0.00178972 0.000501237 0.00700547 0.000852569 0.000428316 -0.000427461 0.306962 -0.148807 0.548439 7.27688e-07 0 -7.27688e-07 0.000161563 0 -0.000161563 0.30696 -0.148805 0.548422 -0.000211219 0.306962 -0.148807 0.000182587 -4.96545e-05 -0.000459505 0.00321114 -0.00153872 -6.31098e-05 2.35662 -8.60658e-05 -0.000192339 2.35662 -0.000106329 -0.000200161 
