O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z error_x error_y error_z error_rx error_ry error_rz vel_x vel_y vel_z bodyRPY_R bodyRPY_P bodyRPY_Y bodyRPY_des_R bodyRPY_des_P bodyRPY_des_Y F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz
0.99999 -0.000115172 -8.94886e-05 0 -0.000115146 -0.99999 0.000298463 0 -8.95238e-05 -0.000298456 -1 0 0.306983 -2.56207e-05 0.486842 1 0.0173556 0.0151319 0.0305906 -0.00224187 0.00472874 -1.79764e-05 0.00156455 -4.92953e-05 0.00699819 9.38934e-05 0.000628329 -1.9563e-07 0.306985 -2.69027e-05 0.486841 0 0 0 0 0 0 0.306983 -2.56207e-05 0.486842 -1.28349e-06 1.28201e-06 1.33617e-06 5.09578e-06 -4.38916e-06 6.04421e-06 -0.0001008 -0.000221971 -0.000427322 3.14129 -8.95247e-05 0.000115147 3.14128 -9.83069e-05 0.000127232 0.0174526 0.0151672 0.0306071 -0.00224809 -0.00474996 1.67987e-05 
0.99999 -0.000115899 -9.36086e-05 0 -0.000115871 -0.99999 0.000299717 0 -9.36443e-05 -0.000299709 -1 0 0.306984 -2.38103e-05 0.486841 1 -0.0103446 -0.0301559 0.0393847 0.00565328 -0.000556821 -3.98882e-05 0.00220616 -6.95034e-05 0.00986825 0.0001324 0.000886003 -2.77502e-07 0.306985 -2.69027e-05 0.486841 8.9982e-09 0 -8.9982e-09 1.79946e-05 0 -1.79946e-05 0.306984 -2.38103e-05 0.486841 -1.05704e-06 3.09244e-06 3.16072e-07 4.46925e-06 -2.32907e-06 5.68103e-06 -2.87307e-06 0.000424472 -0.000602575 3.14129 -9.36452e-05 0.000115872 3.14128 -9.83069e-05 0.000127232 -0.0102937 -0.0301244 0.0393923 0.00564759 0.000545858 3.95814e-05 
0.99999 -0.000117052 -9.10455e-05 0 -0.000117024 -0.99999 0.000301066 0 -9.10816e-05 -0.000301058 -1 0 0.306984 -2.50943e-05 0.486842 1 -0.22303 0.0806323 0.0598197 -0.0120954 -0.0425211 -0.000153741 0.00446997 -0.000140834 0.0199942 0.000268268 0.00179516 -5.64001e-07 0.306985 -2.69027e-05 0.486841 3.59856e-08 0 -3.59856e-08 3.59784e-05 0 -3.59784e-05 0.306984 -2.50943e-05 0.486842 -8.07418e-07 1.80839e-06 9.966e-07 3.79445e-06 -3.61057e-06 5.10465e-06 0.00114659 -0.00211512 -0.0012208 3.14129 -9.10825e-05 0.000117025 3.14128 -9.83069e-05 0.000127232 -0.22295 0.0806584 0.0598335 -0.0121 0.0425035 0.000167683 
0.99999 -0.00011127 -8.93254e-05 0 -0.000111244 -0.99999 0.000297977 0 -8.93594e-05 -0.00029797 -1 0 0.306984 -2.35138e-05 0.486843 1 -0.212448 0.0300598 0.0790728 -0.00388816 -0.0397712 -0.000112882 0.00557413 -0.000175604 0.0249331 0.00033451 0.0022386 -6.95845e-07 0.306985 -2.69027e-05 0.486841 8.09514e-08 0 -8.09514e-08 5.39514e-05 0 -5.39514e-05 0.306984 -2.35138e-05 0.486843 -5.91179e-07 3.38895e-06 1.36651e-06 5.33887e-06 -4.47077e-06 7.9951e-06 0.00107774 -0.00077808 -0.00152233 3.14129 -8.93603e-05 0.000111245 3.14128 -9.83069e-05 0.000127232 -0.212349 0.0300967 0.0790896 -0.00389466 0.0397496 0.000125165 
0.99999 -0.000115331 -8.09547e-05 0 -0.000115307 -0.99999 0.000297312 0 -8.09898e-05 -0.000297305 -1 0 0.306983 -2.58661e-05 0.486844 1 -0.044845 0.0628721 -0.0887203 -0.0116205 -0.0124354 5.79339e-05 -0.00454881 0.000143335 -0.0203462 -0.000272982 -0.00182683 5.64388e-07 0.306985 -2.69027e-05 0.486841 1.43885e-07 0 -1.43885e-07 7.19136e-05 0 -7.19136e-05 0.306983 -2.58661e-05 0.486844 -1.34594e-06 1.03665e-06 3.28013e-06 5.67095e-06 -8.65618e-06 5.96475e-06 0.00038942 -0.00111986 0.00124256 3.1413 -8.09905e-05 0.000115308 3.14128 -9.83069e-05 0.000127232 -0.044652 0.06291 -0.0886847 -0.0116269 0.0123928 -5.33203e-05 
0.99999 -0.00011515 -8.68999e-05 0 -0.000115124 -0.99999 0.000305749 0 -8.69359e-05 -0.000305742 -1 0 0.306984 -2.55213e-05 0.486842 1 0.0341974 0.016558 -0.0907654 -0.00369831 0.00322599 1.42814e-05 -0.00510389 0.000160794 -0.0228296 -0.000306327 -0.00204975 6.52332e-07 0.306985 -2.69027e-05 0.486841 2.24775e-07 0 -2.24775e-07 8.9865e-05 0 -8.9865e-05 0.306984 -2.55213e-05 0.486842 -1.2448e-06 1.38145e-06 1.02606e-06 1.45259e-06 -5.68308e-06 6.05564e-06 -0.000159831 -0.000417166 0.00139417 3.14129 -8.69368e-05 0.000115125 3.14128 -9.83069e-05 0.000127232 0.0343251 0.0165666 -0.0907405 -0.00369928 -0.00325431 -1.4854e-05 
0.99999 -0.000129178 -8.96288e-05 0 -0.000129151 -0.99999 0.000300978 0 -8.96685e-05 -0.00030097 -1 0 0.306983 -2.75649e-05 0.486839 1 0.00100863 0.0564197 0.0131619 -0.00954182 0.000629569 0.00010529 0.000730573 -2.30205e-05 0.00326791 4.38472e-05 0.000293403 -9.20944e-08 0.306985 -2.69027e-05 0.486841 3.23611e-07 0 -3.23611e-07 0.000107806 0 -0.000107806 0.306983 -2.75649e-05 0.486839 -1.51303e-06 -6.62192e-07 -1.75331e-06 3.83809e-06 -4.31896e-06 -9.58707e-07 -5.41571e-05 -0.000917348 -0.00019989 3.14129 -8.96694e-05 0.000129153 3.14128 -9.83069e-05 0.000127232 0.00110448 0.0564459 0.013179 -0.00954644 -0.000650665 -0.000104773 
0.99999 -0.000123736 -8.06378e-05 0 -0.00012371 -0.99999 0.000313896 0 -8.06774e-05 -0.000313889 -1 0 0.306984 -2.73045e-05 0.486842 1 0.0102723 -0.00865827 -0.044898 0.00127538 0.000700731 2.83934e-05 -0.00265365 8.35861e-05 -0.0118697 -0.000159281 -0.00106573 3.46864e-07 0.306985 -2.69027e-05 0.486841 4.40383e-07 0 -4.40383e-07 0.000125736 0 -0.000125736 0.306984 -2.73045e-05 0.486842 -2.90595e-07 -4.0176e-07 9.211e-07 -2.6214e-06 -8.81362e-06 1.76328e-06 0.000109642 -0.000100842 0.000724479 3.14128 -8.06782e-05 0.000123711 3.14128 -9.83069e-05 0.000127232 0.0104721 -0.00868017 -0.0448561 0.00128047 -0.000745497 -2.87024e-05 
0.99999 -0.000126962 -8.41059e-05 0 -0.000126936 -0.99999 0.000310389 0 -8.41461e-05 -0.000310382 -1 0 0.306984 -2.85485e-05 0.48684 1 -0.105604 0.0194736 0.0629957 -0.00247817 -0.0179002 7.62835e-05 0.00371699 -0.000117097 0.0166264 0.000223106 0.00149279 -4.81387e-07 0.306985 -2.69027e-05 0.486841 5.75079e-07 0 -5.75079e-07 0.000143655 0 -0.000143655 0.306984 -2.85485e-05 0.48684 -4.06789e-07 -1.64583e-06 -1.52593e-06 -8.67795e-07 -7.0798e-06 1.49914e-07 0.000915427 -0.00036469 -0.00101575 3.14128 -8.41469e-05 0.000126937 3.14128 -9.83069e-05 0.000127232 -0.105444 0.0194649 0.0630285 -0.00247582 0.0178645 -7.057e-05 
0.99999 -0.000126831 -8.96928e-05 0 -0.000126803 -0.99999 0.000315228 0 -8.97337e-05 -0.00031522 -1 0 0.306987 -2.87506e-05 0.486837 1 -0.26407 0.0396958 0.155704 -0.00489074 -0.0465276 5.0405e-05 0.00979793 -0.000308633 0.0438288 0.000588156 0.003935 -1.2912e-06 0.306985 -2.69027e-05 0.486841 7.27688e-07 0 -7.27688e-07 0.000161563 0 -0.000161563 0.306987 -2.87506e-05 0.486837 1.77215e-06 -1.84791e-06 -3.87188e-06 -3.28672e-06 -4.28601e-06 2.15405e-07 0.00156588 -0.00073905 -0.00267622 3.14128 -8.97345e-05 0.000126804 3.14128 -9.83069e-05 0.000127232 -0.263972 0.0396706 0.155726 -0.00488549 0.0465055 -3.52721e-05 
