O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z error_x error_y error_z error_rx error_ry error_rz vel_x vel_y vel_z bodyRPY_Y bodyRPY_P bodyRPY_R bodyRPY_des_Y bodyRPY_des_P bodyRPY_des_R F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz
0.99999 -0.000125946 -1.07076e-06 0 -0.000125945 -0.99999 0.000284558 0 -1.10661e-06 -0.00028456 -1 0 0.306987 -1.47215e-05 0.486864 1 0.0384806 0.000433061 -0.0207057 -0.000295378 0.00691526 8.45523e-06 -0.00139851 4.40476e-05 -0.006254 -8.38848e-05 -0.000561678 1.59776e-07 0.306993 -1.71263e-05 0.486868 0 0 0 0 0 0 0.306987 -1.47215e-05 0.486864 -6.05396e-06 2.40477e-06 -3.8679e-06 5.43738e-06 9.63522e-06 -1.61718e-06 -0.000190768 -2.8832e-05 0.000381904 3.14131 -1.10662e-06 0.000125947 3.1413 1.81651e-05 0.000122718 0.0382612 0.000475524 -0.0207533 -0.000304489 -0.00686589 -1.04796e-05 
0.99999 -0.00012437 -1.93224e-06 0 -0.000124369 -0.99999 0.000286256 0 -1.96786e-06 -0.000286258 -1 0 0.306988 -1.47176e-05 0.486864 1 -0.045183 0.00647815 -0.0144875 -0.00122707 -0.00972168 8.47167e-07 -0.000554411 1.74605e-05 -0.0024793 -3.32551e-05 -0.000222667 6.37464e-08 0.306993 -1.71263e-05 0.486868 8.9982e-09 0 -8.9982e-09 1.79946e-05 0 -1.79946e-05 0.306988 -1.47176e-05 0.486864 -4.79359e-06 2.4087e-06 -3.87916e-06 4.58832e-06 1.00661e-05 -8.29225e-07 0.000262883 -0.000161865 0.000151389 3.14131 -1.96788e-06 0.00012437 3.1413 1.81651e-05 0.000122718 -0.0454118 0.00651465 -0.0145365 -0.00123506 0.00977308 1.92584e-06 
0.99999 -0.00012335 -7.62293e-06 0 -0.000123348 -0.99999 0.000287388 0 -7.65845e-06 -0.000287389 -1 0 0.306987 -1.34896e-05 0.486861 1 0.0544952 -0.00493292 0.105151 0.00206871 0.0149861 -2.67102e-05 0.00534151 -0.000168213 0.0238876 0.000320407 0.0021453 -6.18388e-07 0.306993 -1.71263e-05 0.486868 3.59856e-08 0 -3.59856e-08 3.59784e-05 0 -3.59784e-05 0.306987 -1.34896e-05 0.486861 -5.75298e-06 3.63664e-06 -6.8364e-06 4.02275e-06 1.29115e-05 -3.19562e-07 -0.000467541 2.18969e-05 -0.00145847 3.14131 -7.65853e-06 0.000123349 3.1413 1.81651e-05 0.000122718 0.0542025 -0.00489953 0.10509 0.00206105 -0.0149205 2.24307e-05 
0.99999 -0.000110268 -8.63241e-06 0 -0.000110265 -0.99999 0.000283486 0 -8.66375e-06 -0.000283487 -1 0 0.306988 -1.23235e-05 0.486861 1 -0.125893 0.00803435 0.00817929 -0.000862821 -0.0230999 -2.72709e-05 0.000385425 -1.21369e-05 0.00172366 2.3118e-05 0.000154798 -4.40403e-08 0.306993 -1.71263e-05 0.486868 8.09514e-08 0 -8.09514e-08 5.39514e-05 0 -5.39514e-05 0.306988 -1.23235e-05 0.486861 -5.10178e-06 4.80274e-06 -7.38381e-06 5.97378e-06 1.3416e-05 6.22178e-06 0.00157266 -0.000236272 -0.000105473 3.14131 -8.66384e-06 0.000110266 3.1413 1.81651e-05 0.000122718 -0.126198 0.008082 0.00811412 -0.000873129 0.0231684 3.40302e-05 
0.99999 -0.00011277 -1.07624e-05 0 -0.000112767 -0.99999 0.000284934 0 -1.07946e-05 -0.000284935 -1 0 0.306986 -1.20359e-05 0.48686 1 0.0839045 -0.0140915 0.00539052 0.00268783 0.0182198 -3.49176e-05 -0.000717004 2.25774e-05 -0.00320649 -4.30066e-05 -0.000287967 8.2434e-08 0.306993 -1.71263e-05 0.486868 1.43885e-07 0 -1.43885e-07 7.19136e-05 0 -7.19136e-05 0.306986 -1.20359e-05 0.48686 -6.98087e-06 5.09038e-06 -7.8953e-06 5.24981e-06 1.44811e-05 4.97049e-06 2.14753e-05 0.00019791 0.000195681 3.14131 -1.07947e-05 0.000112768 3.1413 1.81651e-05 0.000122718 0.083576 -0.0140487 0.00532099 0.00267833 -0.0181461 2.98887e-05 
0.99999 -0.000115177 6.52145e-06 0 -0.000115179 -0.99999 0.000287458 0 6.4884e-06 -0.000287461 -1 0 0.306986 -1.51131e-05 0.486865 1 0.157618 0.0785095 -0.193996 -0.0148931 0.0255827 -1.74291e-05 -0.0120905 0.000380793 -0.0540666 -0.000725223 -0.0048559 1.38998e-06 0.306993 -1.71263e-05 0.486868 2.24775e-07 0 -2.24775e-07 8.9865e-05 0 -8.9865e-05 0.306986 -1.51131e-05 0.486865 -6.53013e-06 2.01313e-06 -2.64897e-06 3.98674e-06 5.83932e-06 3.76718e-06 -6.63401e-05 -0.00161673 0.00330282 3.14131 6.48846e-06 0.00011518 3.1413 1.81651e-05 0.000122718 0.157485 0.0785402 -0.194026 -0.0148995 -0.0255526 1.00708e-05 
0.99999 -0.000122754 -2.81914e-06 0 -0.000122753 -0.99999 0.000288881 0 -2.85463e-06 -0.000288884 -1 0 0.306988 -1.56141e-05 0.486861 1 -0.124233 0.0643414 -0.0552808 -0.0110963 -0.0253312 6.39235e-05 -0.00305577 9.6239e-05 -0.0136657 -0.000183306 -0.0012273 3.54736e-07 0.306993 -1.71263e-05 0.486868 3.23611e-07 0 -3.23611e-07 0.000107806 0 -0.000107806 0.306988 -1.56141e-05 0.486861 -5.16798e-06 1.51219e-06 -7.57699e-06 3.27573e-06 1.05097e-05 -2.11763e-08 0.00158033 -0.00126513 0.00083423 3.1413 -2.85466e-06 0.000122754 3.1413 1.81651e-05 0.000122718 -0.124471 0.0643686 -0.0553309 -0.0111025 0.0253846 -5.65319e-05 
0.99999 -0.000123567 -2.4741e-07 0 -0.000123567 -0.99999 0.00029333 0 -2.83659e-07 -0.000293333 -1 0 0.306988 -1.6863e-05 0.486859 1 -0.0480944 0.0516189 -0.00670708 -0.00835654 -0.00823791 4.18129e-05 -0.000834723 2.62866e-05 -0.00373298 -5.00752e-05 -0.000335254 9.82652e-08 0.306993 -1.71263e-05 0.486868 4.40383e-07 0 -4.40383e-07 0.000125736 0 -0.000125736 0.306988 -1.6863e-05 0.486859 -4.80446e-06 2.63249e-07 -8.74421e-06 1.05093e-06 9.22409e-06 -4.27801e-07 0.00101609 -0.00108268 0.000227535 3.1413 -2.83662e-07 0.000123568 3.1413 1.81651e-05 0.000122718 -0.0483028 0.0516297 -0.00674981 -0.00835949 0.00828452 -3.9333e-05 
0.99999 -0.000111375 -4.03286e-06 0 -0.000111374 -0.99999 0.000293382 0 -4.06557e-06 -0.000293384 -1 0 0.306989 -1.80521e-05 0.486858 1 -0.0770939 0.044477 -0.0360834 -0.00761474 -0.0159383 -3.6054e-05 -0.00201801 6.35533e-05 -0.00902498 -0.000121064 -0.000810506 2.38057e-07 0.306993 -1.71263e-05 0.486868 5.75079e-07 0 -5.75079e-07 0.000143655 0 -0.000143655 0.306989 -1.80521e-05 0.486858 -3.60713e-06 -9.25777e-07 -9.68112e-06 1.0255e-06 1.11168e-05 5.66803e-06 0.000929415 -0.000881309 0.000550551 3.1413 -4.06561e-06 0.000111375 3.1413 1.81651e-05 0.000122718 -0.0773449 0.0444882 -0.0361348 -0.00761784 0.0159945 4.10226e-05 
0.99999 -0.000113732 -4.59893e-06 0 -0.00011373 -0.99999 0.000300894 0 -4.6332e-06 -0.000300897 -1 0 0.306991 -1.5407e-05 0.486856 1 -0.0755026 -0.00938911 -0.00660464 0.00197249 -0.0143994 -1.91747e-05 -0.000482429 1.51863e-05 -0.0021576 -2.89433e-05 -0.000193764 5.83816e-08 0.306993 -1.71263e-05 0.486868 7.27688e-07 0 -7.27688e-07 0.000161563 0 -0.000161563 0.306991 -1.5407e-05 0.486856 -2.13086e-06 1.71927e-06 -1.23383e-05 -2.73083e-06 1.14003e-05 4.48976e-06 0.000869315 -0.000106551 0.000131184 3.14129 -4.63324e-06 0.000113731 3.1413 1.81651e-05 0.000122718 -0.0757584 -0.00940487 -0.00665471 0.00197451 0.0144564 2.38024e-05 
0.99999 -0.000125342 -6.79509e-06 0 -0.00012534 -0.99999 0.000302503 0 -6.83307e-06 -0.000302505 -1 0 0.306992 -1.75525e-05 0.486854 1 -0.187151 0.0323343 -0.00157306 -0.00511105 -0.0359987 8.9104e-05 0.000205382 -6.46637e-06 0.000918564 1.23229e-05 8.24904e-05 -2.50139e-08 0.306993 -1.71263e-05 0.486868 8.98201e-07 0 -8.98201e-07 0.00017946 0 -0.00017946 0.306992 -1.75525e-05 0.486854 -1.10905e-06 -4.26267e-07 -1.37247e-05 -3.53502e-06 1.24985e-05 -1.31566e-06 0.00181019 -0.000724248 -5.76685e-05 3.14129 -6.83314e-06 0.000125342 3.1413 1.81651e-05 0.000122718 -0.187431 0.0323131 -0.00162759 -0.00510821 0.0360611 -7.80199e-05 
0.99999 -0.000120085 -1.19392e-06 0 -0.000120084 -0.99999 0.000304471 0 -1.23049e-06 -0.000304473 -1 0 0.306992 -1.69535e-05 0.486857 1 -0.0666385 0.0184722 -0.059995 -0.00344911 -0.0146345 3.2219e-05 -0.00344273 0.000108384 -0.0153971 -0.000206561 -0.00138275 4.20876e-07 0.306993 -1.71263e-05 0.486868 1.08661e-06 0 -1.08661e-06 0.000197347 0 -0.000197347 0.306992 -1.69535e-05 0.486857 -1.2399e-06 1.72761e-07 -1.13027e-05 -4.5192e-06 9.69802e-06 1.31321e-06 0.000919129 -0.000497566 0.000939215 3.14129 -1.2305e-06 0.000120086 3.1413 1.81651e-05 0.000122718 -0.0668554 0.018443 -0.0600361 -0.0034444 0.0146826 -2.75309e-05 
0.99999 -0.000115279 9.90119e-08 0 -0.000115279 -0.99999 0.000302765 0 6.41097e-08 -0.000302768 -1 0 0.306993 -1.74709e-05 0.486857 1 -0.165214 0.0183566 -0.0596155 -0.00350028 -0.0340288 3.4676e-05 -0.00297737 9.37412e-05 -0.0133159 -0.000178639 -0.00119585 3.61722e-07 0.306993 -1.71263e-05 0.486868 1.29289e-06 0 -1.29289e-06 0.000215223 0 -0.000215223 0.306993 -1.74709e-05 0.486857 4.31567e-08 -3.44665e-07 -1.09817e-05 -3.6663e-06 9.05145e-06 3.71588e-06 0.0017001 -0.000370257 0.000811897 3.14129 6.41103e-08 0.000115281 3.1413 1.81651e-05 0.000122718 -0.165417 0.0183332 -0.0596542 -0.0034966 0.0340738 -2.40977e-05 
0.99999 -0.000111897 -4.43695e-06 0 -0.000111896 -0.99999 0.00030116 0 -4.47069e-06 -0.000301162 -1 0 0.306994 -1.84746e-05 0.486856 1 -0.15795 0.0245869 -0.0577973 -0.00478477 -0.0330913 2.5357e-05 -0.00270502 8.51763e-05 -0.0120981 -0.000162301 -0.00108646 3.27616e-07 0.306993 -1.71263e-05 0.486868 1.51705e-06 0 -1.51705e-06 0.000233088 0 -0.000233088 0.306994 -1.84746e-05 0.486856 8.84899e-07 -1.3483e-06 -1.20014e-05 -2.86357e-06 1.13193e-05 5.4071e-06 0.00142391 -0.000322176 0.000737297 3.14129 -4.47073e-06 0.000111897 3.1413 1.81651e-05 0.000122718 -0.158204 0.0245701 -0.057847 -0.00478254 0.0331479 -1.50367e-05 
0.99999 -0.000117775 -7.47279e-06 0 -0.000117773 -0.99999 0.000299283 0 -7.50811e-06 -0.000299285 -1 0 0.306994 -1.81304e-05 0.486855 1 -0.103492 0.00895712 -0.0387163 -0.00204683 -0.0217407 6.3787e-05 -0.00185556 5.84304e-05 -0.00829898 -0.000111332 -0.000745276 2.23668e-07 0.306993 -1.71263e-05 0.486868 1.75906e-06 0 -1.75906e-06 0.000250943 0 -0.000250943 0.306994 -1.81304e-05 0.486855 5.81711e-07 -1.00411e-06 -1.26277e-05 -1.92486e-06 1.28371e-05 2.46804e-06 0.000926407 -2.0801e-05 0.000505041 3.14129 -7.50818e-06 0.000117774 3.1413 1.81651e-05 0.000122718 -0.10378 0.00894764 -0.0387735 -0.0020462 0.021805 -5.7022e-05 
0.99999 -0.000115052 -1.15396e-05 0 -0.000115048 -0.99999 0.000303591 0 -1.15746e-05 -0.000303592 -1 0 0.306993 -1.72103e-05 0.486854 1 -0.0587907 -0.0157698 0.0042956 0.0027035 -0.0112356 2.89095e-05 0.000253242 -7.97269e-06 0.00113264 1.51948e-05 0.000101713 -3.10242e-08 0.306993 -1.71263e-05 0.486868 2.01893e-06 0 -2.01893e-06 0.000268786 0 -0.000268786 0.306993 -1.72103e-05 0.486854 6.60407e-08 -8.40704e-08 -1.41729e-05 -4.07859e-06 1.48708e-05 3.82985e-06 0.000528079 0.000319968 -7.1789e-05 3.14129 -1.15747e-05 0.000115049 3.1413 1.81651e-05 0.000122718 -0.0591243 -0.0157941 0.00423064 0.00270681 0.0113099 -2.51828e-05 
