time x y z x_d y_d z_d 
0 0.306938 6.57519e-06 0.486788 0.306938 8.08438e-06 0.486784 
0.001 0.306938 8.72502e-06 0.486784 0.306938 8.08438e-06 0.486784 
0.002 0.306938 6.5449e-06 0.486787 0.306938 8.08438e-06 0.486784 
0.003 0.306937 6.32045e-06 0.486785 0.306938 8.08438e-06 0.486784 
0.004 0.306938 9.03775e-06 0.486785 0.306938 8.08438e-06 0.486784 
0.005 0.306937 7.45899e-06 0.486782 0.306938 8.08438e-06 0.486784 
0.006 0.306936 9.38573e-06 0.486782 0.306938 8.08438e-06 0.486784 
0.007 0.306939 6.55908e-06 0.486782 0.306938 8.08438e-06 0.486784 
0.008 0.306939 6.04389e-06 0.486782 0.306938 8.08438e-06 0.486784 
0.009 0.306939 5.83088e-06 0.486781 0.306938 8.08438e-06 0.486784 
0.01 0.306941 6.71308e-06 0.486778 0.306938 8.08438e-06 0.486784 
0.011 0.30694 6.70571e-06 0.486779 0.306938 8.08438e-06 0.486784 
0.012 0.30694 7.09457e-06 0.486775 0.306938 8.08438e-06 0.486784 
0.013 0.30694 6.99096e-06 0.486777 0.306938 8.08438e-06 0.486784 
0.014 0.30694 7.17916e-06 0.486779 0.306938 8.08438e-06 0.486784 
0.015 0.30694 7.19164e-06 0.486778 0.306938 8.08438e-06 0.486784 
0.016 0.30694 8.02283e-06 0.486776 0.306938 8.08438e-06 0.486784 
0.017 0.306939 6.43522e-06 0.486778 0.306938 8.08438e-06 0.486784 
0.018 0.306939 9.08643e-06 0.486778 0.306938 8.08438e-06 0.486784 
0.019 0.30694 8.81396e-06 0.486777 0.306938 8.08438e-06 0.486784 
0.02 0.306938 8.66982e-06 0.486776 0.306938 8.08438e-06 0.486784 
0.021 0.30694 6.41497e-06 0.486776 0.306938 8.08438e-06 0.486784 
0.022 0.306941 9.46477e-06 0.486776 0.306938 8.08438e-06 0.486784 
0.023 0.306941 6.29973e-06 0.486773 0.306938 8.08438e-06 0.486784 
0.024 0.306943 7.51999e-06 0.486775 0.306938 8.08438e-06 0.486784 
0.025 0.306942 7.28176e-06 0.486774 0.306938 8.08438e-06 0.486784 
0.026 0.306943 6.97517e-06 0.486774 0.306938 8.08438e-06 0.486784 
0.027 0.306944 4.5878e-06 0.486776 0.306938 8.08438e-06 0.486784 
0.028 0.306944 5.99227e-06 0.486772 0.306938 8.08438e-06 0.486784 
0.029 0.306943 6.60058e-06 0.486772 0.306938 8.08438e-06 0.486784 
0.03 0.306945 7.73982e-06 0.486772 0.306938 8.08438e-06 0.486784 
0.031 0.306946 8.81439e-06 0.486771 0.306938 8.08438e-06 0.486784 
0.032 0.306947 7.49509e-06 0.486773 0.306938 8.08438e-06 0.486784 
0.033 0.306947 8.40763e-06 0.486768 0.306938 8.08438e-06 0.486784 
0.034 0.306946 7.62794e-06 0.486772 0.306938 8.08438e-06 0.486784 
0.035 0.306948 8.28433e-06 0.48677 0.306938 8.08438e-06 0.486784 
0.036 0.306949 6.13219e-06 0.486772 0.306938 8.08438e-06 0.486784 
0.037 0.306949 6.6334e-06 0.486771 0.306938 8.08438e-06 0.486784 
0.038 0.306949 7.68036e-06 0.486772 0.306938 8.08438e-06 0.486784 
0.039 0.30695 7.85507e-06 0.486772 0.306938 8.08438e-06 0.486784 
0.04 0.306952 7.48186e-06 0.486769 0.306938 8.08438e-06 0.486784 
0.041 0.306951 8.49677e-06 0.48677 0.306938 8.08438e-06 0.486784 
0.042 0.306952 6.7887e-06 0.48677 0.306938 8.08438e-06 0.486784 
0.043 0.306953 7.02073e-06 0.48677 0.306938 8.08438e-06 0.486784 
0.044 0.306955 7.88151e-06 0.486767 0.306938 8.08438e-06 0.486784 
0.045 0.306953 9.34548e-06 0.486768 0.306938 8.08438e-06 0.486784 
0.046 0.306956 1.01631e-05 0.486771 0.306938 8.08438e-06 0.486784 
0.047 0.306955 5.9995e-06 0.486768 0.306938 8.08438e-06 0.486784 
0.048 0.306956 9.56105e-06 0.486768 0.306938 8.08438e-06 0.486784 
0.049 0.306958 7.10264e-06 0.486768 0.306938 8.08438e-06 0.486784 
0.05 0.306958 7.17992e-06 0.486768 0.306938 8.08438e-06 0.486784 
0.051 0.306959 5.45066e-06 0.486773 0.306938 8.08438e-06 0.486784 
0.052 0.30696 7.52513e-06 0.486771 0.306938 8.08438e-06 0.486784 
0.053 0.306961 9.3108e-06 0.486772 0.306938 8.08438e-06 0.486784 
0.054 0.306962 6.57525e-06 0.486769 0.306938 8.08438e-06 0.486784 
0.055 0.306962 9.36102e-06 0.486771 0.306938 8.08438e-06 0.486784 
0.056 0.306964 6.49307e-06 0.486772 0.306938 8.08438e-06 0.486784 
0.057 0.306964 5.97687e-06 0.486771 0.306938 8.08438e-06 0.486784 
0.058 0.306966 8.35942e-06 0.486775 0.306938 8.08438e-06 0.486784 
0.059 0.306967 6.77924e-06 0.486774 0.306938 8.08438e-06 0.486784 
0.06 0.306968 6.6857e-06 0.486773 0.306938 8.08438e-06 0.486784 
0.061 0.306969 9.85917e-06 0.486774 0.306938 8.08438e-06 0.486784 
0.062 0.30697 6.25887e-06 0.486776 0.306938 8.08438e-06 0.486784 
0.063 0.306969 8.06036e-06 0.486775 0.306938 8.08438e-06 0.486784 
0.064 0.306971 6.68583e-06 0.486775 0.306938 8.08438e-06 0.486784 
0.065 0.306971 6.47221e-06 0.486779 0.306938 8.08438e-06 0.486784 
0.066 0.306972 9.77552e-06 0.486775 0.306938 8.08438e-06 0.486784 
0.067 0.306973 6.55016e-06 0.486777 0.306938 8.08438e-06 0.486784 
0.068 0.306973 6.8583e-06 0.486774 0.306938 8.08438e-06 0.486784 
0.069 0.306975 5.11525e-06 0.48678 0.306938 8.08438e-06 0.486784 
0.07 0.306975 6.50806e-06 0.486777 0.306938 8.08438e-06 0.486784 
0.071 0.306977 6.15631e-06 0.486776 0.306938 8.08438e-06 0.486784 
0.072 0.306975 6.86182e-06 0.486779 0.306938 8.08438e-06 0.486784 
0.073 0.306978 9.833e-06 0.486779 0.306938 8.08438e-06 0.486784 
0.074 0.306978 6.12942e-06 0.486779 0.306938 8.08438e-06 0.486784 
0.075 0.30698 8.12583e-06 0.486779 0.306938 8.08438e-06 0.486784 
0.076 0.30698 6.11674e-06 0.486779 0.306938 8.08438e-06 0.486784 
0.077 0.306983 6.27916e-06 0.486781 0.306938 8.08438e-06 0.486784 
0.078 0.306983 6.71553e-06 0.486782 0.306938 8.08438e-06 0.486784 
0.079 0.306983 6.70142e-06 0.486783 0.306938 8.08438e-06 0.486784 
0.08 0.306985 7.29946e-06 0.486782 0.306938 8.08438e-06 0.486784 
0.081 0.306986 5.44725e-06 0.486782 0.306938 8.08438e-06 0.486784 
0.082 0.306986 5.71295e-06 0.486782 0.306938 8.08438e-06 0.486784 
0.083 0.306987 8.86386e-06 0.48678 0.306938 8.08438e-06 0.486784 
0.084 0.306987 7.0039e-06 0.486785 0.306938 8.08438e-06 0.486784 
0.085 0.306988 6.79931e-06 0.486783 0.306938 8.08438e-06 0.486784 
0.086 0.306988 9.06514e-06 0.486784 0.306938 8.08438e-06 0.486784 
0.087 0.306988 6.36043e-06 0.486781 0.306938 8.08438e-06 0.486784 
0.088 0.306989 7.01629e-06 0.486784 0.306938 8.08438e-06 0.486784 
0.089 0.306988 6.73127e-06 0.486787 0.306938 8.08438e-06 0.486784 
0.09 0.30699 5.03141e-06 0.486786 0.306938 8.08438e-06 0.486784 
0.091 0.30699 5.61689e-06 0.486784 0.306938 8.08438e-06 0.486784 
0.092 0.306991 4.97379e-06 0.486784 0.306938 8.08438e-06 0.486784 
0.093 0.306991 6.48245e-06 0.48678 0.306938 8.08438e-06 0.486784 
0.094 0.306991 9.01449e-06 0.486787 0.306938 8.08438e-06 0.486784 
0.095 0.306991 7.78336e-06 0.486783 0.306938 8.08438e-06 0.486784 
0.096 0.306991 6.95245e-06 0.486785 0.306938 8.08438e-06 0.486784 
0.097 0.306992 5.67809e-06 0.486786 0.306938 8.08438e-06 0.486784 
0.098 0.306991 6.46413e-06 0.486785 0.306938 8.08438e-06 0.486784 
0.099 0.306992 7.13571e-06 0.486782 0.306938 8.08438e-06 0.486784 
0.1 0.306993 6.37139e-06 0.486784 0.306938 8.08438e-06 0.486784 
0.101 0.306993 7.30345e-06 0.486785 0.306938 8.08438e-06 0.486784 
0.102 0.306993 8.35873e-06 0.486788 0.306938 8.08438e-06 0.486784 
0.103 0.306993 7.72852e-06 0.486786 0.306938 8.08438e-06 0.486784 
0.104 0.306992 8.35034e-06 0.486785 0.306938 8.08438e-06 0.486784 
0.105 0.306993 8.6858e-06 0.486784 0.306938 8.08438e-06 0.486784 
0.106 0.306993 6.2171e-06 0.486786 0.306938 8.08438e-06 0.486784 
0.107 0.306992 9.34928e-06 0.486783 0.306938 8.08438e-06 0.486784 
