O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z pos_x pos_y pos_z bodyRPY_des_R bodyRPY_des_P bodyRPY_des_Y bodyRPY_R bodyRPY_P bodyRPY_Y error_ana_x error_ana_y error_ana_z error_ana_rx error_ana_ry error_ana_rz 
0.99999 -0.000307184 0.000141345 0 -0.000317155 -0.707084 0.707116 0 -0.000117274 -0.707123 -0.707091 0 0.306827 -0.148864 0.548546 1 0.0198839 -0.183915 -0.0236872 0.0189028 6.04315e-05 0.000114492 0.306818 -0.148875 0.548539 0 0 0 0.306827 -0.148864 0.548546 2.35618 -0.000129394 0.00033284 2.35617 -0.000117275 0.000317158 9.71139e-06 1.04653e-05 6.43146e-06 -1.17792e-05 1.21189e-05 -1.56827e-05 
0.99999 -0.000306707 0.000130996 0 -0.0003095 -0.707086 0.707114 0 -0.000124253 -0.707121 -0.707093 0 0.306827 -0.148865 0.548541 1 -0.0399563 -0.0955208 0.0727161 0.0205209 0.00823546 0.000211925 0.306818 -0.148875 0.548539 8.9982e-09 0 -8.9982e-09 0.306827 -0.148865 0.548541 2.35618 -0.000129394 0.00033284 2.35617 -0.000124255 0.000309503 9.21724e-06 9.67039e-06 2.04285e-06 -9.38979e-06 5.13966e-06 -2.3337e-05 
0.99999 -0.000314538 0.000135017 0 -0.000317882 -0.707088 0.707111 0 -0.000126946 -0.707118 -0.707095 0 0.306826 -0.148868 0.548543 1 -0.0136919 -0.0208556 -0.0517088 -0.00423395 0.00466338 -4.50462e-05 0.306818 -0.148875 0.548539 3.59856e-08 0 -3.59856e-08 0.306826 -0.148868 0.548543 2.35618 -0.000129394 0.00033284 2.35618 -0.000126948 0.000317885 8.70533e-06 6.97403e-06 4.03905e-06 -5.69466e-06 2.44653e-06 -1.49558e-05 
0.99999 -0.00030213 0.000133058 0 -0.000307723 -0.707087 0.707113 0 -0.000119559 -0.70712 -0.707093 0 0.306828 -0.148866 0.548545 1 -0.00549231 -0.0576635 0.0679684 0.0150422 0.00384029 0.000431603 0.306818 -0.148875 0.548539 8.09514e-08 0 -8.09514e-08 0.306828 -0.148866 0.548545 2.35618 -0.000129394 0.00033284 2.35618 -0.00011956 0.000307726 1.02343e-05 8.40179e-06 5.65743e-06 -8.19965e-06 9.83404e-06 -2.51149e-05 
0.99999 -0.000302396 0.000128798 0 -0.000304898 -0.707087 0.707113 0 -0.000122759 -0.70712 -0.707094 0 0.306827 -0.148866 0.548544 1 0.0413499 0.0317944 0.0302359 -0.000272608 -0.00699579 0.000201891 0.306818 -0.148875 0.548539 1.43885e-07 0 -1.43885e-07 0.306827 -0.148866 0.548544 2.35618 -0.000129394 0.00033284 2.35618 -0.00012276 0.000304901 9.05502e-06 8.57777e-06 4.27743e-06 -7.69911e-06 6.63421e-06 -2.79399e-05 
0.99999 -0.000304873 0.000127255 0 -0.000305558 -0.707087 0.707113 0 -0.000125602 -0.70712 -0.707094 0 0.306826 -0.148866 0.548543 1 -0.0204435 -0.0116037 0.0719292 0.0100743 0.00460838 0.000267052 0.306818 -0.148875 0.548539 2.24775e-07 0 -2.24775e-07 0.306826 -0.148866 0.548543 2.35618 -0.000129394 0.00033284 2.35618 -0.000125603 0.000305561 8.70475e-06 9.10824e-06 3.45432e-06 -8.15821e-06 3.7914e-06 -2.72791e-05 
0.99999 -0.00030204 0.000124811 0 -0.000301827 -0.707083 0.707117 0 -0.000125329 -0.707124 -0.70709 0 0.306826 -0.148866 0.548542 1 0.0205236 -0.027366 0.101739 0.0162448 -0.00451324 0.000340695 0.306818 -0.148875 0.548539 3.23611e-07 0 -3.23611e-07 0.306826 -0.148866 0.548542 2.35618 -0.000129394 0.00033284 2.35617 -0.00012533 0.00030183 8.05221e-06 8.38403e-06 2.73099e-06 -1.33963e-05 4.06451e-06 -3.10109e-05 
0.99999 -0.000313288 0.000130748 0 -0.000313978 -0.707083 0.707117 0 -0.000129083 -0.707123 -0.70709 0 0.306826 -0.148868 0.548541 1 -0.0812025 0.0132958 0.130616 0.0146852 0.0141241 0.000152938 0.306818 -0.148875 0.548539 4.40383e-07 0 -4.40383e-07 0.306826 -0.148868 0.548541 2.35618 -0.000129394 0.00033284 2.35617 -0.000129085 0.000313981 8.38963e-06 6.72096e-06 1.48521e-06 -1.28562e-05 3.09497e-07 -1.88596e-05 
0.99999 -0.000307834 0.000123101 0 -0.000304714 -0.70708 0.707119 0 -0.000130635 -0.707126 -0.707087 0 0.306826 -0.148868 0.54854 1 -0.0516341 0.00170028 0.0774966 0.0096688 0.0096499 0.000233405 0.306818 -0.148875 0.548539 5.75079e-07 0 -5.75079e-07 0.306826 -0.148868 0.54854 2.35618 -0.000129394 0.00033284 2.35617 -0.000130636 0.000304716 8.03208e-06 7.10097e-06 8.37555e-07 -1.69965e-05 -1.24218e-06 -2.8124e-05 
0.99999 -0.000311241 0.000123571 0 -0.000307455 -0.707083 0.707117 0 -0.000132711 -0.707124 -0.70709 0 0.306826 -0.148868 0.548538 1 0.0724314 0.0182809 0.0779598 0.00775668 -0.0160521 7.58644e-07 0.306818 -0.148875 0.548539 7.27688e-07 0 -7.27688e-07 0.306826 -0.148868 0.548538 2.35618 -0.000129394 0.00033284 2.35617 -0.000132712 0.000307458 8.52813e-06 6.84e-06 -1.09981e-06 -1.34684e-05 -3.31826e-06 -2.53826e-05 
